    0	  1.49	  0.08
    5	  7.45	  0.37
   10	 12.70	  0.66
   15	 19.11	  0.93
   20	 24.77	  1.20
   25	 28.05	  1.45
   30	 28.66	  1.70
   35	 40.48	  1.93
   40	 43.27	  2.16
   45	 44.61	  2.37
   50	 52.48	  2.58
   55	 52.47	  2.77
   60	 62.07	  2.96
   65	 63.85	  3.13
   70	 62.66	  3.30
   75	 68.25	  3.45
   80	 76.01	  3.60
   85	 71.99	  3.73
   90	 71.14	  3.85
   95	 82.86	  3.97
  100	 81.84	  4.08
  105	 84.12	  4.17
  110	 86.74	  4.25
  115	 85.28	  4.33
  120	 93.72	  4.40
