rx	V(n002)-V(n004)	I(VSense)
1.000000000000000e+00	9.361731e-01	1.040192e-03
1.009900000000000e+02	8.147373e-01	9.052637e-04
2.009800000000000e+02	7.120994e-01	7.912215e-04
3.009700000000000e+02	6.242081e-01	6.935645e-04
4.009600000000000e+02	5.480982e-01	6.089981e-04
5.009500000000000e+02	4.815500e-01	5.350555e-04
6.009399999999999e+02	4.228677e-01	4.698531e-04
7.009299999999999e+02	3.707348e-01	4.119276e-04
8.009200000000000e+02	3.241127e-01	3.601253e-04
9.009100000000000e+02	2.821715e-01	3.135239e-04
1.000900000000000e+03	2.442400e-01	2.713778e-04
1.100890000000000e+03	2.097692e-01	2.330770e-04
1.200880000000000e+03	1.783066e-01	1.981183e-04
1.300870000000000e+03	1.494741e-01	1.660826e-04
1.400860000000000e+03	1.229563e-01	1.366180e-04
1.500850000000000e+03	9.848404e-02	1.094268e-04
1.600840000000000e+03	7.583022e-02	8.425579e-05
1.700830000000000e+03	5.479908e-02	6.088784e-05
1.800820000000000e+03	3.522229e-02	3.913591e-05
1.900810000000000e+03	1.695418e-02	1.883798e-05
2.000800000000000e+03	-1.323223e-04	-1.470208e-07
2.100790000000000e+03	-1.614833e-02	-1.794250e-05
2.200780000000000e+03	-3.119111e-02	-3.465684e-05
2.300770000000000e+03	-4.534721e-02	-5.038568e-05
2.400760000000000e+03	-5.869222e-02	-6.521367e-05
2.500750000000000e+03	-7.129455e-02	-7.921605e-05
2.600740000000000e+03	-8.321404e-02	-9.245991e-05
2.700730000000000e+03	-9.450483e-02	-1.050053e-04
2.800720000000000e+03	-1.052153e-01	-1.169059e-04
2.900710000000000e+03	-1.153893e-01	-1.282104e-04
3.000700000000000e+03	-1.250663e-01	-1.389623e-04
3.100690000000000e+03	-1.342812e-01	-1.492013e-04
3.200680000000000e+03	-1.430669e-01	-1.589632e-04
3.300670000000000e+03	-1.514525e-01	-1.682805e-04
3.400660000000000e+03	-1.594646e-01	-1.771830e-04
3.500650000000000e+03	-1.671278e-01	-1.856977e-04
3.600640000000000e+03	-1.744645e-01	-1.938495e-04
3.700630000000000e+03	-1.814950e-01	-2.016611e-04
3.800620000000000e+03	-1.882379e-01	-2.091533e-04
3.900610000000000e+03	-1.947110e-01	-2.163454e-04
4.000600000000000e+03	-2.009294e-01	-2.232549e-04
4.100590000000000e+03	-2.069087e-01	-2.298983e-04
4.200580000000000e+03	-2.126617e-01	-2.362907e-04
4.300570000000000e+03	-2.182012e-01	-2.424459e-04
4.400559999999999e+03	-2.235394e-01	-2.483770e-04
4.500550000000000e+03	-2.286863e-01	-2.540959e-04
4.600540000000000e+03	-2.336526e-01	-2.596139e-04
4.700530000000000e+03	-2.384474e-01	-2.649414e-04
4.800520000000000e+03	-2.430792e-01	-2.700880e-04
4.900509999999999e+03	-2.475567e-01	-2.750629e-04
5.000500000000000e+03	-2.518868e-01	-2.798744e-04
5.100490000000000e+03	-2.560775e-01	-2.845305e-04
5.200480000000000e+03	-2.601347e-01	-2.890386e-04
5.300469999999999e+03	-2.640650e-01	-2.934057e-04
5.400460000000000e+03	-2.678742e-01	-2.976382e-04
5.500450000000000e+03	-2.715681e-01	-3.017423e-04
5.600440000000000e+03	-2.751513e-01	-3.057238e-04
5.700429999999999e+03	-2.786293e-01	-3.095880e-04
5.800420000000000e+03	-2.820060e-01	-3.133401e-04
5.900410000000000e+03	-2.852864e-01	-3.169848e-04
6.000400000000000e+03	-2.884741e-01	-3.205268e-04
6.100389999999999e+03	-2.915730e-01	-3.239702e-04
6.200380000000000e+03	-2.945874e-01	-3.273193e-04
6.300370000000000e+03	-2.975199e-01	-3.305777e-04
6.400360000000000e+03	-3.003743e-01	-3.337491e-04
6.500349999999999e+03	-3.031533e-01	-3.368370e-04
6.600339999999999e+03	-3.058603e-01	-3.398446e-04
6.700330000000000e+03	-3.084974e-01	-3.427750e-04
6.800320000000000e+03	-3.110681e-01	-3.456312e-04
6.900309999999999e+03	-3.135741e-01	-3.484158e-04
7.000299999999999e+03	-3.160186e-01	-3.511316e-04
7.100290000000000e+03	-3.184030e-01	-3.537812e-04
7.200280000000000e+03	-3.207302e-01	-3.563668e-04
7.300270000000000e+03	-3.230016e-01	-3.588908e-04
7.400259999999999e+03	-3.252199e-01	-3.613554e-04
7.500250000000000e+03	-3.273864e-01	-3.637625e-04
