rx	V(n002)	I(ISense)
1.000000000000000e+00	2.849443e-02	2.849443e-02
1.099800000000000e+01	2.740111e-01	2.491463e-02
2.099600000000000e+01	4.647237e-01	2.213391e-02
3.099400000000000e+01	6.171397e-01	1.991159e-02
4.099200000000000e+01	7.417421e-01	1.809480e-02
5.098999999999999e+01	8.455076e-01	1.658183e-02
6.098800000000000e+01	9.332595e-01	1.530235e-02
7.098599999999999e+01	1.008439e+00	1.420617e-02
8.098399999999999e+01	1.073568e+00	1.325655e-02
9.098200000000000e+01	1.130536e+00	1.242593e-02
1.009800000000000e+02	1.180785e+00	1.169326e-02
1.109780000000000e+02	1.225439e+00	1.104218e-02
1.209760000000000e+02	1.265382e+00	1.045978e-02
1.309740000000000e+02	1.301323e+00	9.935735e-03
1.409720000000000e+02	1.333834e+00	9.461697e-03
1.509700000000000e+02	1.363385e+00	9.030832e-03
1.609680000000000e+02	1.390361e+00	8.637500e-03
1.709660000000000e+02	1.415086e+00	8.277000e-03
1.809640000000000e+02	1.437829e+00	7.945387e-03
1.909620000000000e+02	1.458820e+00	7.639321e-03
2.009600000000000e+02	1.478254e+00	7.355961e-03
2.109580000000000e+02	1.496298e+00	7.092871e-03
2.209560000000000e+02	1.513095e+00	6.847949e-03
2.309540000000000e+02	1.528772e+00	6.619378e-03
2.409520000000000e+02	1.543435e+00	6.405572e-03
2.509500000000000e+02	1.557181e+00	6.205146e-03
2.609480000000000e+02	1.570093e+00	6.016882e-03
2.709460000000000e+02	1.582245e+00	5.839705e-03
2.809440000000000e+02	1.593701e+00	5.672665e-03
2.909420000000000e+02	1.604520e+00	5.514915e-03
3.009400000000000e+02	1.614754e+00	5.365700e-03
3.109380000000000e+02	1.624448e+00	5.224349e-03
3.209360000000000e+02	1.633645e+00	5.090252e-03
3.309340000000000e+02	1.642382e+00	4.962868e-03
3.409320000000000e+02	1.650692e+00	4.841703e-03
3.509299999999999e+02	1.658606e+00	4.726314e-03
3.609280000000000e+02	1.666151e+00	4.616297e-03
3.709260000000000e+02	1.673353e+00	4.511286e-03
3.809240000000000e+02	1.680235e+00	4.410945e-03
3.909220000000000e+02	1.686817e+00	4.314971e-03
4.009200000000000e+02	1.693119e+00	4.223085e-03
4.109179999999999e+02	1.699158e+00	4.135030e-03
4.209160000000000e+02	1.704951e+00	4.050572e-03
4.309140000000000e+02	1.710511e+00	3.969496e-03
4.409120000000000e+02	1.715853e+00	3.891601e-03
4.509100000000000e+02	1.720990e+00	3.816704e-03
4.609080000000000e+02	1.725933e+00	3.744636e-03
4.709059999999999e+02	1.730692e+00	3.675240e-03
4.809040000000000e+02	1.735279e+00	3.608368e-03
4.909020000000000e+02	1.739701e+00	3.543887e-03
5.009000000000000e+02	1.743968e+00	3.481669e-03
5.108980000000000e+02	1.748088e+00	3.421599e-03
5.208960000000000e+02	1.752068e+00	3.363566e-03
5.308940000000000e+02	1.755916e+00	3.307469e-03
5.408919999999999e+02	1.759637e+00	3.253213e-03
5.508900000000000e+02	1.763238e+00	3.200707e-03
5.608879999999999e+02	1.766724e+00	3.149870e-03
5.708860000000000e+02	1.770102e+00	3.100622e-03
5.808840000000000e+02	1.773376e+00	3.052891e-03
5.908819999999999e+02	1.776550e+00	3.006607e-03
6.008800000000000e+02	1.779629e+00	2.961705e-03
6.108779999999999e+02	1.782618e+00	2.918125e-03
6.208760000000000e+02	1.785521e+00	2.875809e-03
6.308739999999999e+02	1.788340e+00	2.834702e-03
6.408720000000000e+02	1.791080e+00	2.794754e-03
6.508700000000000e+02	1.793743e+00	2.755916e-03
6.608679999999999e+02	1.796334e+00	2.718143e-03
6.708660000000000e+02	1.798854e+00	2.681392e-03
6.808639999999999e+02	1.801308e+00	2.645620e-03
6.908620000000000e+02	1.803696e+00	2.610791e-03
7.008599999999999e+02	1.806023e+00	2.576867e-03
7.108579999999999e+02	1.808290e+00	2.543813e-03
7.208560000000000e+02	1.810500e+00	2.511597e-03
7.308539999999999e+02	1.812654e+00	2.480186e-03
7.408520000000000e+02	1.814755e+00	2.449551e-03
7.508499999999999e+02	1.816805e+00	2.419664e-03
7.608480000000000e+02	1.818805e+00	2.390497e-03
7.708460000000000e+02	1.820758e+00	2.362025e-03
7.808439999999999e+02	1.822664e+00	2.334224e-03
7.908420000000000e+02	1.824527e+00	2.307069e-03
8.008399999999999e+02	1.826347e+00	2.280538e-03
8.108380000000000e+02	1.828125e+00	2.254612e-03
8.208359999999999e+02	1.829863e+00	2.229267e-03
8.308339999999999e+02	1.831562e+00	2.204487e-03
8.408320000000000e+02	1.833225e+00	2.180251e-03
8.508299999999999e+02	1.834851e+00	2.156542e-03
8.608280000000000e+02	1.836442e+00	2.133343e-03
8.708259999999999e+02	1.837999e+00	2.110638e-03
8.808240000000000e+02	1.839523e+00	2.088412e-03
8.908219999999999e+02	1.841016e+00	2.066648e-03
9.008199999999999e+02	1.842478e+00	2.045334e-03
9.108180000000000e+02	1.843910e+00	2.024455e-03
9.208159999999999e+02	1.845313e+00	2.003997e-03
9.308140000000000e+02	1.846688e+00	1.983949e-03
9.408119999999999e+02	1.848035e+00	1.964298e-03
9.508099999999999e+02	1.849357e+00	1.945033e-03
9.608080000000000e+02	1.850652e+00	1.926142e-03
9.708059999999999e+02	1.851923e+00	1.907614e-03
9.808040000000000e+02	1.853170e+00	1.889439e-03
9.908019999999999e+02	1.854393e+00	1.871608e-03
1.000800000000000e+03	1.855593e+00	1.854109e-03
1.010798000000000e+03	1.856771e+00	1.836935e-03
1.020796000000000e+03	1.857927e+00	1.820076e-03
1.030794000000000e+03	1.859062e+00	1.803524e-03
1.040792000000000e+03	1.860177e+00	1.787270e-03
1.050790000000000e+03	1.861272e+00	1.771307e-03
1.060788000000000e+03	1.862347e+00	1.755626e-03
1.070786000000000e+03	1.863404e+00	1.740220e-03
1.080784000000000e+03	1.864442e+00	1.725083e-03
1.090782000000000e+03	1.865462e+00	1.710206e-03
1.100780000000000e+03	1.866465e+00	1.695584e-03
1.110778000000000e+03	1.867451e+00	1.681210e-03
1.120776000000000e+03	1.868420e+00	1.667077e-03
1.130774000000000e+03	1.869373e+00	1.653180e-03
1.140772000000000e+03	1.870311e+00	1.639513e-03
1.150770000000000e+03	1.871233e+00	1.626070e-03
1.160768000000000e+03	1.872139e+00	1.612846e-03
1.170766000000000e+03	1.873032e+00	1.599835e-03
1.180764000000000e+03	1.873910e+00	1.587032e-03
1.190762000000000e+03	1.874774e+00	1.574432e-03
1.200760000000000e+03	1.875625e+00	1.562031e-03
1.210758000000000e+03	1.876462e+00	1.549824e-03
1.220756000000000e+03	1.877286e+00	1.537806e-03
1.230754000000000e+03	1.878098e+00	1.525973e-03
1.240752000000000e+03	1.878897e+00	1.514321e-03
1.250750000000000e+03	1.879684e+00	1.502845e-03
1.260748000000000e+03	1.880459e+00	1.491542e-03
1.270746000000000e+03	1.881223e+00	1.480408e-03
1.280744000000000e+03	1.881975e+00	1.469439e-03
1.290742000000000e+03	1.882716e+00	1.458631e-03
1.300740000000000e+03	1.883447e+00	1.447981e-03
1.310738000000000e+03	1.884166e+00	1.437485e-03
1.320736000000000e+03	1.884876e+00	1.427141e-03
1.330734000000000e+03	1.885575e+00	1.416944e-03
1.340732000000000e+03	1.886265e+00	1.406892e-03
1.350730000000000e+03	1.886944e+00	1.396981e-03
1.360728000000000e+03	1.887614e+00	1.387209e-03
1.370726000000000e+03	1.888275e+00	1.377573e-03
1.380724000000000e+03	1.888927e+00	1.368070e-03
1.390722000000000e+03	1.889570e+00	1.358697e-03
1.400720000000000e+03	1.890204e+00	1.349452e-03
1.410718000000000e+03	1.890830e+00	1.340331e-03
1.420716000000000e+03	1.891447e+00	1.331333e-03
1.430714000000000e+03	1.892056e+00	1.322455e-03
1.440712000000000e+03	1.892656e+00	1.313695e-03
1.450710000000000e+03	1.893249e+00	1.305050e-03
1.460708000000000e+03	1.893834e+00	1.296518e-03
1.470706000000000e+03	1.894412e+00	1.288097e-03
1.480704000000000e+03	1.894982e+00	1.279785e-03
1.490702000000000e+03	1.895545e+00	1.271579e-03
1.500700000000000e+03	1.896101e+00	1.263477e-03
1.510698000000000e+03	1.896649e+00	1.255479e-03
1.520696000000000e+03	1.897191e+00	1.247581e-03
1.530694000000000e+03	1.897726e+00	1.239781e-03
1.540692000000000e+03	1.898254e+00	1.232079e-03
1.550690000000000e+03	1.898776e+00	1.224471e-03
1.560688000000000e+03	1.899291e+00	1.216958e-03
1.570686000000000e+03	1.899800e+00	1.209535e-03
1.580684000000000e+03	1.900303e+00	1.202203e-03
1.590682000000000e+03	1.900800e+00	1.194959e-03
1.600680000000000e+03	1.901291e+00	1.187802e-03
1.610678000000000e+03	1.901776e+00	1.180730e-03
1.620676000000000e+03	1.902255e+00	1.173742e-03
1.630674000000000e+03	1.902729e+00	1.166836e-03
1.640672000000000e+03	1.903197e+00	1.160010e-03
1.650670000000000e+03	1.903659e+00	1.153265e-03
1.660668000000000e+03	1.904117e+00	1.146597e-03
1.670666000000000e+03	1.904569e+00	1.140006e-03
1.680664000000000e+03	1.905016e+00	1.133490e-03
1.690662000000000e+03	1.905457e+00	1.127048e-03
1.700660000000000e+03	1.905894e+00	1.120679e-03
1.710658000000000e+03	1.906326e+00	1.114382e-03
1.720656000000000e+03	1.906753e+00	1.108155e-03
1.730654000000000e+03	1.907176e+00	1.101997e-03
1.740652000000000e+03	1.907593e+00	1.095907e-03
1.750650000000000e+03	1.908006e+00	1.089884e-03
1.760648000000000e+03	1.908415e+00	1.083927e-03
1.770646000000000e+03	1.908819e+00	1.078035e-03
1.780644000000000e+03	1.909219e+00	1.072207e-03
1.790642000000000e+03	1.909614e+00	1.066441e-03
1.800640000000000e+03	1.910005e+00	1.060737e-03
1.810638000000000e+03	1.910392e+00	1.055093e-03
1.820636000000000e+03	1.910775e+00	1.049510e-03
1.830634000000000e+03	1.911154e+00	1.043985e-03
1.840632000000000e+03	1.911529e+00	1.038518e-03
1.850630000000000e+03	1.911900e+00	1.033108e-03
1.860628000000000e+03	1.912267e+00	1.027754e-03
1.870626000000000e+03	1.912631e+00	1.022455e-03
1.880624000000000e+03	1.912990e+00	1.017211e-03
1.890622000000000e+03	1.913347e+00	1.012020e-03
1.900620000000000e+03	1.913699e+00	1.006881e-03
1.910618000000000e+03	1.914048e+00	1.001795e-03
1.920616000000000e+03	1.914393e+00	9.967600e-04
1.930614000000000e+03	1.914735e+00	9.917751e-04
1.940612000000000e+03	1.915073e+00	9.868400e-04
