time	V(in)	V(out)
0.000000000000000e+00	-4.015762e+00	4.999011e+00
3.047756794185292e-04	-4.072895e+00	4.418586e+00
6.095513588370583e-04	-4.127119e+00	3.867715e+00
9.143270382555874e-04	-4.178434e+00	3.346399e+00
1.219102717674117e-03	-4.226840e+00	2.854638e+00
1.523878397092646e-03	-4.272336e+00	2.392432e+00
1.828654076511175e-03	-4.314924e+00	1.959780e+00
2.133429755929703e-03	-4.354602e+00	1.556684e+00
2.455695380929703e-03	-4.394460e+00	1.151767e+00
2.670539130929703e-03	-4.419654e+00	8.958120e-01
2.885382880929703e-03	-4.443800e+00	6.505066e-01
3.100226630929702e-03	-4.466942e+00	4.154076e-01
3.207648505929702e-03	-4.478149e+00	3.015520e-01
3.315070380929702e-03	-4.489121e+00	1.900902e-01
3.422492255929702e-03	-4.499862e+00	8.097183e-02
3.529914130929702e-03	-4.510377e+00	-2.585241e-02
3.637336005929702e-03	-4.520671e+00	-1.304307e-01
3.744757880929702e-03	-4.530748e+00	-2.328104e-01
3.852179755929701e-03	-4.540614e+00	-3.330376e-01
4.067023505929702e-03	-4.559728e+00	-5.272145e-01
4.281867255929703e-03	-4.578046e+00	-7.133124e-01
4.604132880929704e-03	-4.604105e+00	-9.780426e-01
4.926398505929705e-03	-4.628553e+00	-1.226424e+00
5.325394041643992e-03	-4.656381e+00	-1.509133e+00
5.724389577358279e-03	-4.682441e+00	-1.773880e+00
6.123385113072565e-03	-4.706733e+00	-2.020665e+00
6.522380648786853e-03	-4.729257e+00	-2.249489e+00
6.921376184501140e-03	-4.750013e+00	-2.460351e+00
7.320371720215426e-03	-4.769001e+00	-2.653251e+00
7.719367255929713e-03	-4.786221e+00	-2.828189e+00
8.179746720215425e-03	-4.804521e+00	-3.014100e+00
8.640126184501138e-03	-4.821519e+00	-3.186789e+00
9.100505648786849e-03	-4.837216e+00	-3.346256e+00
9.560885113072562e-03	-4.851611e+00	-3.492501e+00
