Freq.	V(vout)/V(vin)
1.00000000000000e+01	(-4.41496529992299e+01dB,8.83075071339572e+01°)
1.00069338746258e+01	(-4.41436376549211e+01dB,8.83063342638983e+01°)
1.00138725571133e+01	(-4.41376223178968e+01dB,8.83051605820073e+01°)
1.00208160507963e+01	(-4.41316069881671e+01dB,8.83039860877243e+01°)
1.00277643590108e+01	(-4.41255916657421e+01dB,8.83028107804888e+01°)
1.00347174850950e+01	(-4.41195763506318e+01dB,8.83016346597403e+01°)
1.00416754323897e+01	(-4.41135610428465e+01dB,8.83004577249176e+01°)
1.00486382042379e+01	(-4.41075457423963e+01dB,8.82992799754591e+01°)
1.00556058039847e+01	(-4.41015304492913e+01dB,8.82981014108031e+01°)
1.00625782349778e+01	(-4.40955151635417e+01dB,8.82969220303873e+01°)
1.00695555005672e+01	(-4.40894998851577e+01dB,8.82957418336490e+01°)
1.00765376041051e+01	(-4.40834846141495e+01dB,8.82945608200252e+01°)
1.00835245489460e+01	(-4.40774693505273e+01dB,8.82933789889525e+01°)
1.00905163384468e+01	(-4.40714540943013e+01dB,8.82921963398671e+01°)
1.00975129759669e+01	(-4.40654388454818e+01dB,8.82910128722048e+01°)
1.01045144648677e+01	(-4.40594236040790e+01dB,8.82898285854012e+01°)
1.01115208085131e+01	(-4.40534083701032e+01dB,8.82886434788911e+01°)
1.01185320102693e+01	(-4.40473931435647e+01dB,8.82874575521094e+01°)
1.01255480735049e+01	(-4.40413779244738e+01dB,8.82862708044902e+01°)
1.01325690015909e+01	(-4.40353627128407e+01dB,8.82850832354675e+01°)
1.01395947979003e+01	(-4.40293475086759e+01dB,8.82838948444748e+01°)
1.01466254658088e+01	(-4.40233323119897e+01dB,8.82827056309452e+01°)
1.01536610086943e+01	(-4.40173171227924e+01dB,8.82815155943114e+01°)
1.01607014299370e+01	(-4.40113019410944e+01dB,8.82803247340059e+01°)
1.01677467329196e+01	(-4.40052867669060e+01dB,8.82791330494605e+01°)
1.01747969210269e+01	(-4.39992716002377e+01dB,8.82779405401068e+01°)
1.01818519976462e+01	(-4.39932564410999e+01dB,8.82767472053761e+01°)
1.01889119661673e+01	(-4.39872412895031e+01dB,8.82755530446990e+01°)
1.01959768299819e+01	(-4.39812261454576e+01dB,8.82743580575061e+01°)
1.02030465924846e+01	(-4.39752110089739e+01dB,8.82731622432274e+01°)
1.02101212570720e+01	(-4.39691958800625e+01dB,8.82719656012925e+01°)
1.02172008271430e+01	(-4.39631807587338e+01dB,8.82707681311306e+01°)
1.02242853060993e+01	(-4.39571656449985e+01dB,8.82695698321706e+01°)
1.02313746973444e+01	(-4.39511505388669e+01dB,8.82683707038409e+01°)
1.02384690042845e+01	(-4.39451354403496e+01dB,8.82671707455697e+01°)
1.02455682303281e+01	(-4.39391203494572e+01dB,8.82659699567847e+01°)
1.02526723788860e+01	(-4.39331052662003e+01dB,8.82647683369130e+01°)
