Freq.	V(ch2)/V(ch1)
1.00000000000000e+01	(-3.21089711821473e+01dB,8.92872932152391e+01°)
1.00695555005672e+01	(-3.20487745631086e+01dB,8.92823364642138e+01°)
1.01395947979003e+01	(-3.19885780749906e+01dB,8.92773452471142e+01°)
1.02101212570719e+01	(-3.19283817196200e+01dB,8.92723193244376e+01°)
1.02811382665607e+01	(-3.18681854988495e+01dB,8.92672584550205e+01°)
1.03526492384138e+01	(-3.18079894145574e+01dB,8.92621623960270e+01°)
1.04246576084112e+01	(-3.17477934686482e+01dB,8.92570309029367e+01°)
1.04971668362307e+01	(-3.16875976630530e+01dB,8.92518637295340e+01°)
1.05701804056138e+01	(-3.16274019997299e+01dB,8.92466606278956e+01°)
1.06437018245336e+01	(-3.15672064806641e+01dB,8.92414213483792e+01°)
1.07177346253629e+01	(-3.15070111078689e+01dB,8.92361456396116e+01°)
1.07922823650443e+01	(-3.14468158833852e+01dB,8.92308332484766e+01°)
1.08673486252606e+01	(-3.13866208092827e+01dB,8.92254839201031e+01°)
1.09429370126074e+01	(-3.13264258876599e+01dB,8.92200973978531e+01°)
1.10190511587661e+01	(-3.12662311206446e+01dB,8.92146734233092e+01°)
1.10956947206785e+01	(-3.12060365103940e+01dB,8.92092117362628e+01°)
1.11728713807222e+01	(-3.11458420590959e+01dB,8.92037120747016e+01°)
1.12505848468881e+01	(-3.10856477689682e+01dB,8.91981741747970e+01°)
1.13288388529580e+01	(-3.10254536422599e+01dB,8.91925977708918e+01°)
1.14076371586843e+01	(-3.09652596812513e+01dB,8.91869825954874e+01°)
1.14869835499704e+01	(-3.09050658882545e+01dB,8.91813283792315e+01°)
1.15668818390529e+01	(-3.08448722656141e+01dB,8.91756348509050e+01°)
1.16473358646846e+01	(-3.07846788157070e+01dB,8.91699017374093e+01°)
1.17283494923188e+01	(-3.07244855409436e+01dB,8.91641287637534e+01°)
1.18099266142953e+01	(-3.06642924437677e+01dB,8.91583156530407e+01°)
1.18920711500272e+01	(-3.06040995266573e+01dB,8.91524621264564e+01°)
1.19747870461893e+01	(-3.05439067921248e+01dB,8.91465679032535e+01°)
1.20580782769076e+01	(-3.04837142427180e+01dB,8.91406327007403e+01°)
1.21419488439505e+01	(-3.04235218810197e+01dB,8.91346562342665e+01°)
1.22264027769207e+01	(-3.03633297096492e+01dB,8.91286382172102e+01°)
1.23114441334492e+01	(-3.03031377312622e+01dB,8.91225783609638e+01°)
1.23970769993899e+01	(-3.02429459485512e+01dB,8.91164763749210e+01°)
1.24833054890161e+01	(-3.01827543642466e+01dB,8.91103319664624e+01°)
1.25701337452183e+01	(-3.01225629811166e+01dB,8.91041448409423e+01°)
1.26575659397028e+01	(-3.00623718019682e+01dB,8.90979147016744e+01°)
1.27456062731927e+01	(-3.00021808296475e+01dB,8.90916412499179e+01°)
1.28342589756291e+01	(-2.99419900670401e+01dB,8.90853241848634e+01°)
1.29235283063750e+01	(-2.98817995170721e+01dB,8.90789632036189e+01°)
1.30134185544194e+01	(-2.98216091827104e+01dB,8.90725580011949e+01°)
1.31039340385837e+01	(-2.97614190669629e+01dB,8.90661082704909e+01°)
1.31950791077290e+01	(-2.97012291728800e+01dB,8.90596137022802e+01°)
