Vs,Freq,FreqErr,P2P1,P2P2,Phase,PhaseErr,Potentiometer
250,2000000,10000,244,30.4,103,1,0
250,2000000,10000,228,90.4,119,1,1
250,2000000,10000,228,134,119,1,2
250,2000000,10000,224,208,125,1,4
250,2000000,10000,228,224,130,1,8
250,2000000,10000,228,272,131,1,10
250,2000000,10000,244,368,144,1,20
250,2000000,10000,292,512,158,1,40
250,2000000,10000,340,640,167,1,80
250,2000000,10000,356,688,168,1,100
250,2000000,10000,388,678,172,1,200
250,2000000,10000,404,816,174,1,400
250,2000000,10000,404,824,175,1,800
250,2000000,10000,460,896,178,1,1000
