time	V(ch1)	V(ch2)	V(n001)	V(n003)
Step Information: Rl=10  (Step: 1/46)
0.000000000000000e+00	6.280322e-03	4.392761e-08	3.140183e-03	-3.140139e-03
8.529124615485931e-07	1.163853e-02	1.013551e-07	5.819317e-03	-5.819215e-03
1.762685753867093e-06	1.735345e-02	1.801652e-07	8.676815e-03	-8.676635e-03
3.582232338504091e-06	2.878170e-02	4.032076e-07	1.439105e-02	-1.439065e-02
7.221325507778089e-06	5.163184e-02	1.102132e-06	2.581647e-02	-2.581537e-02
1.449951184632608e-05	9.730618e-02	3.691028e-06	4.865493e-02	-4.865124e-02
2.905588452342207e-05	1.885475e-01	1.641824e-05	9.428196e-02	-9.426554e-02
5.816862987761405e-05	3.705669e-01	1.471167e-04	1.853570e-01	-1.852099e-01
1.163941205859980e-04	7.318845e-01	7.462425e-03	3.696734e-01	-3.622110e-01
1.510677816879833e-04	9.419785e-01	4.826332e-02	4.951209e-01	-4.468576e-01
1.891142440410195e-04	1.164342e+00	1.612302e-01	6.627861e-01	-5.015559e-01
2.342920414851610e-04	1.421138e+00	3.480620e-01	8.846001e-01	-5.365381e-01
2.902555982152533e-04	1.733048e+00	6.088219e-01	1.170935e+00	-5.621130e-01
3.488493482152533e-04	2.054052e+00	8.947621e-01	1.474407e+00	-5.796449e-01
4.074430982152533e-04	2.369867e+00	1.184382e+00	1.777125e+00	-5.927426e-01
4.660368482152533e-04	2.680322e+00	1.474866e+00	2.077594e+00	-6.027279e-01
5.246305982152534e-04	2.985246e+00	1.763419e+00	2.374332e+00	-6.109136e-01
5.832243482152534e-04	3.284339e+00	2.048638e+00	2.666489e+00	-6.178508e-01
6.418180982152535e-04	3.577260e+00	2.329605e+00	2.953432e+00	-6.238272e-01
7.004118482152535e-04	3.863659e+00	2.605552e+00	3.234605e+00	-6.290532e-01
7.590055982152536e-04	4.143185e+00	2.875831e+00	3.509508e+00	-6.336769e-01
8.175993482152536e-04	4.415490e+00	3.139877e+00	3.777683e+00	-6.378065e-01
8.761930982152537e-04	4.680228e+00	3.397186e+00	4.038707e+00	-6.415210e-01
9.347868482152537e-04	4.937061e+00	3.647297e+00	4.292179e+00	-6.448819e-01
9.933805982152539e-04	5.185658e+00	3.889786e+00	4.537722e+00	-6.479361e-01
1.110568098215254e-03	5.656871e+00	4.350334e+00	5.003603e+00	-6.532682e-01
1.227755598215254e-03	6.091424e+00	4.775944e+00	5.433684e+00	-6.577395e-01
1.344943098215254e-03	6.487056e+00	5.164055e+00	5.825556e+00	-6.615005e-01
1.520724348215254e-03	7.003086e+00	5.671021e+00	6.337054e+00	-6.660322e-01
1.696505598215255e-03	7.420937e+00	6.082064e+00	6.751501e+00	-6.694365e-01
1.872286848215255e-03	7.735756e+00	6.392026e+00	7.063891e+00	-6.718652e-01
2.048068098215255e-03	7.943929e+00	6.597104e+00	7.270516e+00	-6.734127e-01
2.223849348215255e-03	8.043129e+00	6.694859e+00	7.368994e+00	-6.741350e-01
2.399630598215255e-03	8.032345e+00	6.684231e+00	7.358288e+00	-6.740569e-01
2.575411848215255e-03	7.911899e+00	6.565543e+00	7.238721e+00	-6.731778e-01
2.751193098215255e-03	7.683437e+00	6.340498e+00	7.011968e+00	-6.714695e-01
2.926974348215255e-03	7.349915e+00	6.012167e+00	6.681041e+00	-6.688737e-01
3.102755598215256e-03	6.915553e+00	5.584970e+00	6.250262e+00	-6.652911e-01
3.278536848215256e-03	6.385787e+00	5.064659e+00	5.725223e+00	-6.605643e-01
3.454318098215256e-03	5.767194e+00	4.458311e+00	5.112752e+00	-6.544416e-01
3.630099348215256e-03	5.067398e+00	3.774383e+00	4.420890e+00	-6.465073e-01
3.805880598215256e-03	4.294948e+00	3.022907e+00	3.658928e+00	-6.360206e-01
3.981661848215256e-03	3.459140e+00	2.216145e+00	2.837642e+00	-6.214980e-01
4.157443098215255e-03	2.569641e+00	1.371085e+00	1.970363e+00	-5.992779e-01
4.216036848215254e-03	2.262802e+00	1.085673e+00	1.674238e+00	-5.885642e-01
4.274630598215254e-03	1.951223e+00	8.017582e-01	1.376491e+00	-5.747325e-01
4.333224348215254e-03	1.634870e+00	5.244120e-01	1.079641e+00	-5.552290e-01
4.391818098215253e-03	1.313105e+00	2.648278e-01	7.889662e-01	-5.241385e-01
4.450411848215253e-03	9.823706e-01	6.358717e-02	5.229789e-01	-4.593917e-01
4.487727914590357e-03	7.628726e-01	1.018495e-02	3.865288e-01	-3.763438e-01
4.526677925680687e-03	5.281610e-01	8.281859e-04	2.644946e-01	-2.636664e-01
4.545345091927062e-03	4.149778e-01	2.486281e-04	2.076132e-01	-2.073646e-01
4.571203888264452e-03	2.578464e-01	2.599181e-05	1.289362e-01	-1.289102e-01
4.606563662087933e-03	4.248495e-02	1.150183e-05	2.124823e-02	-2.123672e-02
4.665157412087933e-03	-3.152985e-01	6.713270e-05	-1.576157e-01	1.576828e-01
4.723751162087932e-03	-6.734215e-01	4.071346e-03	-3.346751e-01	3.387464e-01
4.762699982195345e-03	-9.085489e-01	3.757194e-02	-4.354885e-01	4.730604e-01
4.806823974858243e-03	-1.166215e+00	1.623996e-01	-5.019078e-01	6.643074e-01
4.847022769809195e-03	-1.395602e+00	3.279433e-01	-5.338295e-01	8.617728e-01
4.905616519809195e-03	-1.726028e+00	6.026912e-01	-5.616685e-01	1.164360e+00
4.964210269809194e-03	-2.053619e+00	8.943645e-01	-5.796275e-01	1.473992e+00
5.022804019809194e-03	-2.378929e+00	1.192778e+00	-5.930753e-01	1.785854e+00
5.081397769809193e-03	-2.701745e+00	1.495027e+00	-6.033590e-01	2.098386e+00
5.139991519809193e-03	-3.021887e+00	1.798247e+00	-6.118202e-01	2.410067e+00
5.198585269809193e-03	-3.339006e+00	2.100958e+00	-6.190238e-01	2.719982e+00
5.257179019809192e-03	-3.652735e+00	2.402217e+00	-6.252592e-01	3.027476e+00
5.315772769809192e-03	-3.962669e+00	2.701186e+00	-6.307412e-01	3.331928e+00
5.374366519809192e-03	-4.268425e+00	2.997187e+00	-6.356186e-01	3.632806e+00
5.432960269809191e-03	-4.569587e+00	3.289582e+00	-6.400023e-01	3.929585e+00
5.491554019809191e-03	-4.865774e+00	3.577832e+00	-6.439711e-01	4.221803e+00
5.550147769809190e-03	-5.156573e+00	3.861396e+00	-6.475886e-01	4.508984e+00
5.608741519809190e-03	-5.441609e+00	4.139807e+00	-6.509008e-01	4.790708e+00
5.667335269809190e-03	-5.720481e+00	4.412586e+00	-6.539477e-01	5.066534e+00
5.725929019809189e-03	-5.992828e+00	4.679311e+00	-6.567582e-01	5.336070e+00
5.784522769809189e-03	-6.258263e+00	4.939545e+00	-6.593589e-01	5.598904e+00
5.843116519809189e-03	-6.516439e+00	5.192901e+00	-6.617690e-01	5.854670e+00
5.901710269809188e-03	-6.766989e+00	5.438974e+00	-6.640072e-01	6.102982e+00
5.960304019809188e-03	-7.009585e+00	5.677412e+00	-6.660865e-01	6.343499e+00
6.018897769809187e-03	-7.243880e+00	5.907839e+00	-6.680206e-01	6.575859e+00
6.077491519809187e-03	-7.469567e+00	6.129930e+00	-6.698187e-01	6.799748e+00
6.136085269809187e-03	-7.686321e+00	6.343338e+00	-6.714910e-01	7.014830e+00
6.194679019809186e-03	-7.893858e+00	6.547770e+00	-6.730442e-01	7.220814e+00
6.253272769809186e-03	-8.091878e+00	6.742906e+00	-6.744861e-01	7.417392e+00
6.311866519809185e-03	-8.280123e+00	6.928480e+00	-6.758215e-01	7.604301e+00
6.370460269809185e-03	-8.458316e+00	7.104203e+00	-6.770566e-01	7.781260e+00
6.429054019809185e-03	-8.626227e+00	7.269838e+00	-6.781948e-01	7.948033e+00
6.487647769809184e-03	-8.783608e+00	7.425126e+00	-6.792411e-01	8.104367e+00
6.546241519809184e-03	-8.930256e+00	7.569860e+00	-6.801978e-01	8.250058e+00
6.604835269809184e-03	-9.065949e+00	7.703812e+00	-6.810691e-01	8.384881e+00
6.663429019809183e-03	-9.190517e+00	7.826804e+00	-6.818565e-01	8.508660e+00
6.722022769809183e-03	-9.303767e+00	7.938641e+00	-6.825632e-01	8.621203e+00
6.780616519809182e-03	-9.405557e+00	8.039176e+00	-6.831903e-01	8.722366e+00
6.839210269809182e-03	-9.495728e+00	8.128246e+00	-6.837405e-01	8.811987e+00
6.897804019809182e-03	-9.574165e+00	8.205737e+00	-6.842142e-01	8.889952e+00
6.956397769809181e-03	-9.640744e+00	8.271517e+00	-6.846137e-01	8.956131e+00
7.014991519809181e-03	-9.695384e+00	8.325506e+00	-6.849390e-01	9.010446e+00
7.073585269809180e-03	-9.737988e+00	8.367605e+00	-6.851917e-01	9.052797e+00
