VBE,VCE,idx,Rb
0.6,0.004,999,100.8
0.658,0.072,900,100.8
0.66,0.076,800,100.8
0.664,0.081,700,100.8
0.667,0.088,600,100.8
0.671,0.097,500,100.8
0.677,0.11,400,100.8
0.684,0.136,300,100.8
0.683,1.188,200,100.8
0.687,0.166,250,100.8
0.689,0.213,230,100.8
0.689,0.383,220,100.8
0.687,0.553,215,100.8
0.626,0.003,999,47.6
0.665,0.049,900,47.6
0.668,0.052,800,47.6
0.67,0.056,700,47.6
0.674,0.06,600,47.6
0.678,0.066,500,47.6
0.683,0.075,400,47.6
0.69,0.088,300,47.6
0.701,0.112,200,47.6
0.704,0.126,170,47.6
0.707,0.14,150,47.6
0.674,0.003,999,9.97
0.688,0.018,900,9.97
0.689,0.02,800,9.97
0.69,0.022,700,9.97
0.692,0.025,600,9.97
0.695,0.028,500,9.97
0.699,0.032,400,9.97
0.704,0.039,300,9.97
0.713,0.051,200,9.97
0.718,0.06,180,9.97
0.723,0.07,130,9.97
0.729,0.08,114,9.97
0.733,0.088,90,9.97
0.738,0.099,76,9.97
0.742,0.109,67,9.97
0.745,0.119,60,9.97
0.751,0.139,50,9.97
0.752,0.147,47,9.97
0.754,0.16,42,9.97
0.707,0.518,100,47.6
0.707,0.188,120,47.6
0.71,0.245,110,47.6
0.706,0.152,140,47.6
0.71,0.18,124,47.6
0.712,0.25,110,47.6
0.708,0.493,100,47.6
0.696,1.244,90,47.6
0.682,1.937,80,47.6
0.669,2.727,70,47.6
0.65,3.543,60,47.6
0.635,4.215,53,47.6
0.605,5.777,38,47.6
0.733,1.014,20,9.97
0.736,0.182,40,9.97
0.748,0.372,30,9.97
0.746,0.606,28,9.97
0.74,0.656,26,9.97
0.732,0.749,24,9.97
0.741,0.242,34,9.97
0.641,5.66,100,100.8
0.651,4.63,120,100.8
0.668,2.712,160,100.8
