time	V(vb)	V(vc)	V(ve)	V(vin)	V(vout)
0.000000000000000e+00	1.373059e+00	9.188957e+00	6.243721e-01	0.000000e+00	2.024327e-14
4.882812557061023e-11	1.373059e+00	9.188953e+00	6.243727e-01	3.067962e-07	-3.744347e-06
9.765625114122045e-11	1.373059e+00	9.188951e+00	6.243732e-01	6.135923e-07	-6.583796e-06
1.953125022824409e-10	1.373060e+00	9.188947e+00	6.243741e-01	1.227185e-06	-1.082227e-05
2.197265650677460e-10	1.373060e+00	9.188946e+00	6.243742e-01	1.380583e-06	-1.141051e-05
2.685546906383562e-10	1.373060e+00	9.188945e+00	6.243746e-01	1.687379e-06	-1.238538e-05
3.662109417795767e-10	1.373061e+00	9.188944e+00	6.243751e-01	2.300971e-06	-1.341819e-05
5.615234440620176e-10	1.373062e+00	9.188944e+00	6.243760e-01	3.528156e-06	-1.367651e-05
6.103515696326278e-10	1.373063e+00	9.188944e+00	6.243762e-01	3.834952e-06	-1.354493e-05
7.080078207738483e-10	1.373063e+00	9.188944e+00	6.243766e-01	4.448544e-06	-1.330185e-05
9.033203230562892e-10	1.373064e+00	9.188944e+00	6.243774e-01	5.675729e-06	-1.311896e-05
1.293945327621171e-09	1.373067e+00	9.188943e+00	6.243792e-01	8.130099e-06	-1.445817e-05
2.075195336750935e-09	1.373072e+00	9.188934e+00	6.243832e-01	1.303884e-05	-2.260849e-05
2.270507839033375e-09	1.373073e+00	9.188931e+00	6.243843e-01	1.426602e-05	-2.556982e-05
2.661132843598257e-09	1.373075e+00	9.188926e+00	6.243865e-01	1.672039e-05	-3.174724e-05
3.442382852728021e-09	1.373080e+00	9.188912e+00	6.243911e-01	2.162913e-05	-4.510756e-05
3.637695355010462e-09	1.373082e+00	9.188909e+00	6.243923e-01	2.285631e-05	-4.859551e-05
4.028320359575344e-09	1.373084e+00	9.188902e+00	6.243946e-01	2.531068e-05	-5.561450e-05
