voltage_V,neutral_fall_seconds,charged_rise_seconds,ionization_seconds,d,rho,g,eta,b,p,room_temp
200.8,38.03,4.79,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,17.85,3.72,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,17.73,3.29,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,16.05,3.48,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,16.26,3.34,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,19.23,3.54,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,21.05,2.42,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,20.08,3.51,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,21.93,3.84,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,21.24,4.44,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,17.82,4.97,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,18.33,3.36,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,21.33,4.11,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
200.8,23.36,4.55,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
