x_rel,y_rel
1,48.400000000000006
2,48.0
3,48.5
4,48.5
5,48.5
6,48.0
7,48.5
8,48.5
9,49.5
10,49.0
11,48.5
12,48.5
13,48.5
14,49.0
15,49.5
16,50.0
17,50.0
18,49.5
19,49.5
20,50.5
21,51.5
22,52.0
23,52.0
24,51.0
25,51.0
26,52.0
27,53.0
28,53.0
29,51.5
30,51.0
31,51.5
32,52.0
33,51.5
34,51.0
35,49.0
36,49.5
37,50.5
38,50.5
39,48.5
40,48.0
41,48.0
42,48.5
43,47.5
44,48.0
45,48.0
46,48.5
47,48.5
48,48.5
49,48.0
50,48.0
51,48.0
52,48.0
53,48.0
54,48.0
55,48.5
56,48.5
57,48.0
58,48.0
59,48.0
60,47.5
61,47.5
62,47.5
63,48.0
64,48.0
65,47.5
66,47.5
67,47.5
68,47.5
69,48.0
70,48.5
71,48.0
72,48.0
73,48.5
74,48.0
75,48.0
76,48.0
77,48.5
78,48.0
79,48.0
80,48.5
81,47.5
82,47.5
83,48.0
84,48.0
85,48.5
86,51.5
87,79.890625
88,104.5
89,117.53164556962025
90,136.0
91,132.58333333333331
92,146.5
93,149.0
94,149.0
95,147.0
96,133.05263157894737
97,136.02222222222224
98,142.5
99,157.25
100,152.90322580645162
101,131.5
102,122.5
103,120.29787234042553
104,109.76923076923077
105,106.5
106,103.39285714285714
107,99.5
108,95.9655172413793
109,75.5
110,72.5
111,63.75
112,60.5
113,52.0
114,50.111111111111114
115,49.5
116,48.0
117,48.5
118,48.5
119,48.5
120,48.5
121,48.5
122,49.0
123,48.5
124,48.5
125,48.5
126,48.0
127,48.5
128,48.0
129,48.0
130,48.5
131,48.5
132,49.0
133,48.5
134,48.5
135,48.5
136,48.5
137,48.0
138,48.5
139,48.5
140,48.0
141,48.0
142,48.0
143,48.5
144,47.5
145,48.5
146,47.5
147,47.5
148,48.0
149,48.0
150,48.5
151,48.0
152,48.5
153,47.5
154,48.5
155,48.0
156,48.0
157,48.0
158,48.5
159,48.0
160,48.0
161,48.0
162,48.0
163,48.0
164,47.5
165,48.0
166,48.0
167,48.5
168,48.0
169,49.0
170,49.599999999999994
171,49.5
172,49.0
173,48.5
174,48.0
175,48.0
176,48.5
177,48.5
178,48.5
179,50.0
180,50.5
181,51.5
182,51.5
183,52.0
184,52.0
185,52.5
186,52.0
187,51.5
188,52.0
189,53.0
190,53.0
191,53.0
192,52.5
193,51.5
194,51.0
195,51.0
196,50.5
197,50.0
198,50.0
199,49.0
200,48.5
201,48.0
202,48.0
203,48.5
204,48.5
205,48.5
206,48.5
207,48.5
208,48.5
209,48.5
210,48.0
211,48.0
212,47.5
213,47.5
214,48.5
215,48.5
216,48.0
217,48.5
218,48.5
219,48.0
220,47.5
221,47.5
222,47.5
223,47.5
224,47.5
225,48.0
226,47.5
227,48.0
228,48.0
229,48.0
230,48.0
231,48.0
232,48.5
233,48.5
234,48.0
235,48.0
236,47.5
237,48.0
238,48.0
239,48.0
240,48.0
241,48.0
242,48.0
243,48.0
244,48.5
245,48.5
246,48.5
247,48.5
248,48.5
249,48.0
250,48.5
251,48.0
252,48.0
253,47.5
254,48.0
255,48.0
256,48.5
257,48.5
258,47.5
259,48.0
260,47.5
261,47.5
262,48.5
263,47.5
264,48.0
265,48.0
266,48.5
267,48.0
268,48.0
269,48.0
270,48.0
271,48.0
272,48.0
273,48.0
274,48.5
275,48.5
276,48.5
277,48.5
278,NaN
