x_rel,y_rel
1,47.75
2,48.0
3,48.0
4,48.5
5,49.0
6,49.0
7,49.0
8,49.0
9,49.5
10,49.5
11,49.0
12,48.5
13,48.5
14,48.5
15,48.5
16,49.5
17,49.5
18,50.0
19,50.0
20,49.5
21,49.0
22,49.0
23,49.0
24,49.5
25,49.5
26,49.5
27,51.0
28,52.5
29,53.0
30,52.5
31,52.0
32,52.0
33,51.5
34,51.0
35,50.5
36,51.0
37,52.0
38,52.5
39,53.0
40,54.0
41,54.0
42,53.0
43,52.0
44,51.0
45,50.5
46,50.5
47,50.5
48,51.5
49,52.0
50,52.5
51,53.0
52,52.19999999999999
53,52.0
54,51.0
55,49.5
56,49.0
57,49.0
58,49.0
59,49.5
60,50.5
61,51.0
62,50.5
63,49.5
64,49.0
65,48.5
66,48.0
67,48.0
68,48.0
69,48.5
70,48.5
71,48.5
72,48.5
73,48.5
74,48.5
75,48.5
76,48.5
77,48.5
78,48.0
79,48.0
80,47.5
81,48.0
82,48.0
83,48.0
84,48.0
85,48.0
86,48.0
87,48.0
88,48.5
89,48.5
90,48.5
91,48.0
92,48.0
93,48.0
94,48.0
95,48.0
96,47.5
97,47.5
98,47.5
99,47.5
100,48.5
101,47.5
102,47.5
103,48.0
104,48.0
105,47.5
106,47.5
107,48.5
108,48.5
109,48.5
110,48.0
111,48.0
112,48.0
113,47.5
114,48.0
115,47.5
116,48.5
117,48.5
118,48.5
119,48.0
120,48.0
121,48.5
122,48.0
123,48.5
124,47.5
125,48.0
126,49.0
127,49.0
128,49.0
129,49.0
130,49.0
131,48.5
132,48.5
133,48.5
134,48.5
135,48.0
136,47.5
137,48.5
138,48.5
139,48.5
140,48.0
141,47.5
142,47.5
143,48.0
144,48.0
145,47.5
146,48.0
147,48.0
148,48.5
149,48.5
150,48.5
151,48.5
152,48.0
153,48.0
154,48.0
155,48.0
156,48.0
157,48.5
158,49.5
159,52.22222222222223
160,55.5
161,62.61538461538461
162,77.92307692307693
163,98.525
164,109.12048192771084
165,122.3529411764706
166,126.20967741935483
167,141.0
168,137.0
169,135.5
170,126.9
171,130.1290322580645
172,144.5689655172414
173,149.0
174,155.5
175,155.5
176,149.5
177,145.51612903225805
178,133.05128205128204
179,120.71428571428571
180,125.1304347826087
181,130.5
182,141.06382978723406
183,148.0
184,149.9512195121951
185,156.0
186,160.0
187,157.08695652173913
188,150.5
189,142.0
190,132.5
191,126.5
192,119.05405405405405
193,117.5
194,111.0
195,106.0
196,102.5
197,107.0
198,108.25
199,105.95652173913044
200,102.0
201,100.5
202,99.5
203,94.5
204,87.0
205,87.0
206,76.5
207,74.44444444444446
208,70.0
209,60.5
210,58.0
211,57.5
212,53.5
213,51.5
214,51.0
215,49.5
216,48.5
217,47.5
218,48.5
219,48.5
220,48.0
221,48.0
222,48.0
223,48.0
224,48.5
225,48.0
226,47.0
227,46.5
228,47.0
229,47.5
230,47.5
231,47.5
232,47.5
233,48.0
234,47.5
235,48.5
236,48.0
237,48.0
238,47.5
239,47.5
240,48.5
241,48.5
242,48.5
243,48.5
244,48.5
245,48.5
246,48.5
247,48.0
248,48.0
249,48.0
250,48.5
251,48.5
252,48.0
253,48.0
254,48.0
255,48.0
256,48.0
257,48.0
258,48.0
259,48.5
260,48.0
261,48.0
262,47.5
263,47.5
264,48.0
265,48.0
266,47.5
267,48.0
268,48.0
269,48.0
270,48.0
271,48.0
272,47.5
273,48.0
274,48.5
275,48.0
276,48.5
277,48.0
278,48.0
