x_rel,y_rel,x_abs,res
1.0,48.400000000000006,99.0 Hz,low
2.0,48.0,134.8731884057971 Hz,low
3.0,48.5,170.7463768115942 Hz,low
4.0,48.5,206.6195652173913 Hz,low
5.0,48.5,242.4927536231884 Hz,low
6.0,48.0,278.3659420289855 Hz,low
7.0,48.5,314.2391304347826 Hz,low
8.0,48.5,350.11231884057975 Hz,low
9.0,49.5,385.9855072463768 Hz,low
10.0,49.0,421.85869565217394 Hz,low
11.0,48.5,457.731884057971 Hz,low
12.0,48.5,493.6050724637681 Hz,low
13.0,48.5,529.4782608695652 Hz,low
14.0,49.0,565.3514492753623 Hz,low
15.0,49.5,601.2246376811595 Hz,low
16.0,50.0,637.0978260869565 Hz,low
17.0,50.0,672.9710144927536 Hz,low
18.0,49.5,708.8442028985507 Hz,low
19.0,49.5,744.7173913043479 Hz,low
20.0,50.5,780.5905797101449 Hz,low
21.0,51.5,816.463768115942 Hz,low
22.0,52.0,852.3369565217391 Hz,low
23.0,52.0,888.2101449275362 Hz,low
24.0,51.0,924.0833333333334 Hz,low
25.0,51.0,959.9565217391305 Hz,low
26.0,52.0,995.8297101449275 Hz,low
27.0,53.0,1031.7028985507245 Hz,low
28.0,53.0,1067.5760869565217 Hz,low
29.0,51.5,1103.449275362319 Hz,low
30.0,51.0,1139.322463768116 Hz,low
31.0,51.5,1175.195652173913 Hz,low
32.0,52.0,1211.0688405797102 Hz,low
33.0,51.5,1246.9420289855072 Hz,low
34.0,51.0,1282.8152173913043 Hz,low
35.0,49.0,1318.6884057971015 Hz,low
36.0,49.5,1354.5615942028985 Hz,low
37.0,50.5,1390.4347826086957 Hz,low
38.0,50.5,1426.3079710144928 Hz,low
39.0,48.5,1462.1811594202898 Hz,low
40.0,48.0,1498.054347826087 Hz,low
41.0,48.0,1533.927536231884 Hz,low
42.0,48.5,1569.8007246376812 Hz,low
43.0,47.5,1605.6739130434783 Hz,low
44.0,48.0,1641.5471014492753 Hz,low
45.0,48.0,1677.4202898550725 Hz,low
46.0,48.5,1713.2934782608695 Hz,low
47.0,48.5,1749.1666666666667 Hz,low
48.0,48.5,1785.0398550724638 Hz,low
49.0,48.0,1820.913043478261 Hz,low
50.0,48.0,1856.786231884058 Hz,low
51.0,48.0,1892.659420289855 Hz,low
52.0,48.0,1928.5326086956522 Hz,low
53.0,48.0,1964.4057971014493 Hz,low
54.0,48.0,2000.2789855072465 Hz,low
55.0,48.5,2036.1521739130435 Hz,low
56.0,48.5,2072.0253623188405 Hz,low
57.0,48.0,2107.898550724638 Hz,low
58.0,48.0,2143.771739130435 Hz,low
59.0,48.0,2179.644927536232 Hz,low
60.0,47.5,2215.518115942029 Hz,low
61.0,47.5,2251.391304347826 Hz,low
62.0,47.5,2287.264492753623 Hz,low
63.0,48.0,2323.1376811594205 Hz,low
64.0,48.0,2359.0108695652175 Hz,low
65.0,47.5,2394.8840579710145 Hz,low
66.0,47.5,2430.7572463768115 Hz,low
67.0,47.5,2466.6304347826085 Hz,low
68.0,47.5,2502.503623188406 Hz,low
69.0,48.0,2538.376811594203 Hz,low
70.0,48.5,2574.25 Hz,low
71.0,48.0,2610.123188405797 Hz,low
72.0,48.0,2645.996376811594 Hz,low
73.0,48.5,2681.8695652173915 Hz,low
74.0,48.0,2717.7427536231885 Hz,low
75.0,48.0,2753.6159420289855 Hz,low
76.0,48.0,2789.4891304347825 Hz,low
77.0,48.5,2825.3623188405795 Hz,low
78.0,48.0,2861.235507246377 Hz,low
79.0,48.0,2897.108695652174 Hz,low
80.0,48.5,2932.981884057971 Hz,low
81.0,47.5,2968.855072463768 Hz,low
82.0,47.5,3004.728260869565 Hz,low
83.0,48.0,3040.6014492753625 Hz,low
84.0,48.0,3076.4746376811595 Hz,low
85.0,48.5,3112.3478260869565 Hz,low
86.0,51.5,3148.2210144927535 Hz,low
87.0,79.890625,3184.0942028985505 Hz,low
88.0,104.5,3219.967391304348 Hz,low
89.0,117.53164556962025,3255.840579710145 Hz,low
90.0,136.0,3291.713768115942 Hz,low
91.0,132.58333333333331,3327.586956521739 Hz,low
92.0,146.5,3363.460144927536 Hz,low
93.0,149.0,3399.3333333333335 Hz,low
94.0,149.0,3435.2065217391305 Hz,low
95.0,147.0,3471.0797101449275 Hz,low
96.0,133.05263157894737,3506.9528985507245 Hz,low
97.0,136.02222222222224,3542.826086956522 Hz,low
98.0,142.5,3578.699275362319 Hz,low
99.0,157.25,3614.572463768116 Hz,low
100.0,152.90322580645162,3650.445652173913 Hz,low
101.0,131.5,3686.31884057971 Hz,low
102.0,122.5,3722.1920289855075 Hz,low
103.0,120.29787234042553,3758.0652173913045 Hz,low
104.0,109.76923076923077,3793.9384057971015 Hz,low
105.0,106.5,3829.8115942028985 Hz,low
106.0,103.39285714285714,3865.6847826086955 Hz,low
107.0,99.5,3901.557971014493 Hz,low
108.0,95.9655172413793,3937.43115942029 Hz,low
109.0,75.5,3973.304347826087 Hz,low
110.0,72.5,4009.177536231884 Hz,low
111.0,63.75,4045.050724637681 Hz,low
112.0,60.5,4080.9239130434785 Hz,low
113.0,52.0,4116.797101449276 Hz,low
114.0,50.111111111111114,4152.670289855072 Hz,low
115.0,49.5,4188.54347826087 Hz,low
116.0,48.0,4224.416666666667 Hz,low
117.0,48.5,4260.289855072464 Hz,low
118.0,48.5,4296.163043478261 Hz,low
119.0,48.5,4332.036231884058 Hz,low
120.0,48.5,4367.909420289855 Hz,low
121.0,48.5,4403.782608695652 Hz,low
122.0,49.0,4439.655797101449 Hz,low
123.0,48.5,4475.528985507246 Hz,low
124.0,48.5,4511.402173913043 Hz,low
125.0,48.5,4547.275362318841 Hz,low
126.0,48.0,4583.148550724638 Hz,low
127.0,48.5,4619.021739130435 Hz,low
128.0,48.0,4654.894927536232 Hz,low
129.0,48.0,4690.768115942029 Hz,low
130.0,48.5,4726.641304347826 Hz,low
131.0,48.5,4762.514492753623 Hz,low
132.0,49.0,4798.38768115942 Hz,low
133.0,48.5,4834.260869565217 Hz,low
134.0,48.5,4870.134057971015 Hz,low
135.0,48.5,4906.007246376812 Hz,low
136.0,48.5,4941.880434782609 Hz,low
137.0,48.0,4977.753623188406 Hz,low
138.0,48.5,5013.626811594203 Hz,low
139.0,48.5,5049.5 Hz,low
140.0,48.0,5085.373188405797 Hz,low
141.0,48.0,5121.246376811594 Hz,low
142.0,48.0,5157.119565217391 Hz,low
143.0,48.5,5192.992753623188 Hz,low
144.0,47.5,5228.865942028986 Hz,low
145.0,48.5,5264.739130434783 Hz,low
146.0,47.5,5300.61231884058 Hz,low
147.0,47.5,5336.485507246377 Hz,low
148.0,48.0,5372.358695652174 Hz,low
149.0,48.0,5408.231884057971 Hz,low
150.0,48.5,5444.105072463768 Hz,low
151.0,48.0,5479.978260869565 Hz,low
152.0,48.5,5515.851449275362 Hz,low
153.0,47.5,5551.724637681159 Hz,low
154.0,48.5,5587.597826086957 Hz,low
155.0,48.0,5623.471014492754 Hz,low
156.0,48.0,5659.344202898551 Hz,low
157.0,48.0,5695.217391304348 Hz,low
158.0,48.5,5731.090579710145 Hz,low
159.0,48.0,5766.963768115942 Hz,low
160.0,48.0,5802.836956521739 Hz,low
161.0,48.0,5838.710144927536 Hz,low
162.0,48.0,5874.583333333333 Hz,low
163.0,48.0,5910.45652173913 Hz,low
164.0,47.5,5946.329710144928 Hz,low
165.0,48.0,5982.202898550725 Hz,low
166.0,48.0,6018.076086956522 Hz,low
167.0,48.5,6053.949275362319 Hz,low
168.0,48.0,6089.822463768116 Hz,low
169.0,49.0,6125.695652173913 Hz,low
170.0,49.599999999999994,6161.56884057971 Hz,low
171.0,49.5,6197.442028985507 Hz,low
172.0,49.0,6233.315217391304 Hz,low
173.0,48.5,6269.188405797101 Hz,low
174.0,48.0,6305.061594202899 Hz,low
175.0,48.0,6340.934782608696 Hz,low
176.0,48.5,6376.807971014493 Hz,low
177.0,48.5,6412.68115942029 Hz,low
178.0,48.5,6448.554347826087 Hz,low
179.0,50.0,6484.427536231884 Hz,low
180.0,50.5,6520.300724637681 Hz,low
181.0,51.5,6556.173913043478 Hz,low
182.0,51.5,6592.047101449275 Hz,low
183.0,52.0,6627.920289855072 Hz,low
184.0,52.0,6663.79347826087 Hz,low
185.0,52.5,6699.666666666667 Hz,low
186.0,52.0,6735.539855072464 Hz,low
187.0,51.5,6771.413043478261 Hz,low
188.0,52.0,6807.286231884058 Hz,low
189.0,53.0,6843.159420289855 Hz,low
190.0,53.0,6879.032608695652 Hz,low
191.0,53.0,6914.905797101449 Hz,low
192.0,52.5,6950.778985507246 Hz,low
193.0,51.5,6986.652173913044 Hz,low
194.0,51.0,7022.525362318841 Hz,low
195.0,51.0,7058.398550724638 Hz,low
196.0,50.5,7094.271739130435 Hz,low
197.0,50.0,7130.144927536232 Hz,low
198.0,50.0,7166.018115942029 Hz,low
199.0,49.0,7201.891304347826 Hz,low
200.0,48.5,7237.764492753623 Hz,low
201.0,48.0,7273.63768115942 Hz,low
202.0,48.0,7309.510869565217 Hz,low
203.0,48.5,7345.384057971015 Hz,low
204.0,48.5,7381.257246376812 Hz,low
205.0,48.5,7417.130434782609 Hz,low
206.0,48.5,7453.003623188406 Hz,low
207.0,48.5,7488.876811594203 Hz,low
208.0,48.5,7524.75 Hz,low
209.0,48.5,7560.623188405797 Hz,low
210.0,48.0,7596.496376811594 Hz,low
211.0,48.0,7632.369565217391 Hz,low
212.0,47.5,7668.242753623188 Hz,low
213.0,47.5,7704.115942028986 Hz,low
214.0,48.5,7739.989130434783 Hz,low
215.0,48.5,7775.86231884058 Hz,low
216.0,48.0,7811.735507246377 Hz,low
217.0,48.5,7847.608695652174 Hz,low
218.0,48.5,7883.481884057971 Hz,low
219.0,48.0,7919.355072463768 Hz,low
220.0,47.5,7955.228260869565 Hz,low
221.0,47.5,7991.101449275362 Hz,low
222.0,47.5,8026.974637681159 Hz,low
223.0,47.5,8062.847826086957 Hz,low
224.0,47.5,8098.721014492754 Hz,low
225.0,48.0,8134.594202898551 Hz,low
226.0,47.5,8170.467391304348 Hz,low
227.0,48.0,8206.340579710144 Hz,low
228.0,48.0,8242.213768115942 Hz,low
229.0,48.0,8278.08695652174 Hz,low
