x_rel,y_rel
1,47.75
2,48.0
3,48.0
4,48.0
5,48.0
6,48.0
7,48.0
8,48.0
9,48.0
10,48.0
11,48.5
12,48.5
13,48.5
14,48.5
15,48.5
16,48.0
17,48.5
18,48.5
19,48.5
20,48.5
21,48.0
22,48.0
23,48.0
24,48.0
25,48.0
26,48.0
27,48.0
28,47.5
29,48.0
30,48.0
31,48.0
32,48.0
33,48.0
34,48.0
35,48.0
36,48.0
37,48.0
38,48.0
39,48.0
40,47.5
41,47.5
42,48.0
43,48.0
44,48.0
45,48.0
46,48.0
47,48.0
48,48.0
49,48.0
50,48.0
51,48.0
52,48.0
53,48.0
54,48.0
55,48.0
56,48.0
57,48.0
58,48.0
59,48.0
60,48.0
61,48.0
62,48.0
63,48.0
64,48.0
65,48.0
66,48.0
67,48.0
68,48.0
69,48.0
70,48.0
71,48.0
72,48.0
73,48.0
74,48.0
75,48.0
76,48.0
77,48.0
78,48.0
79,48.0
80,48.0
81,47.5
82,48.0
83,48.0
84,48.0
85,47.5
86,47.0
87,47.5
88,48.0
89,48.0
90,48.0
91,48.0
92,48.0
93,48.0
94,48.0
95,48.0
96,48.0
97,48.0
98,48.0
99,47.5
100,48.0
101,48.0
102,48.0
103,48.0
104,48.0
105,48.0
106,49.0
107,48.5
108,49.5
109,50.0
110,51.0
111,52.0
112,53.0
113,54.0
114,56.33333333333334
115,59.0
116,62.5
117,66.5
118,71.5
119,76.0
120,79.5
121,80.5
122,83.0
123,84.0
124,85.5
125,89.5
126,92.0
127,98.0
128,104.5
129,109.0
130,110.0
131,113.0
132,113.5
133,109.33333333333333
134,105.0
135,97.11764705882354
136,92.5
137,90.0
138,88.0
139,87.0
140,85.5
141,85.0
142,85.0
143,86.5
144,88.5
145,90.5
146,93.0
147,98.5
148,101.7
149,105.5
150,111.0
151,121.0
152,127.32
153,138.5483870967742
154,150.5
155,157.5
156,164.0
157,165.89473684210526
158,169.0
159,166.5
160,160.5
161,154.0
162,150.5
163,146.5
164,143.5
165,143.0
166,142.5
167,143.0
168,144.5
169,146.5
170,150.0
171,152.5
172,155.5
173,160.5
174,163.5
175,164.5
176,167.0
177,169.0
178,170.5
179,171.0
180,172.5
181,173.0
182,173.5
183,176.5
184,177.5
185,179.5
186,182.5
187,187.5625
188,195.0
189,198.0
190,201.5
191,201.5
192,201.0
193,199.5
194,192.3846153846154
195,183.57142857142856
196,176.5
197,165.6
198,157.1764705882353
199,150.94117647058823
200,147.0
201,144.0
202,143.0
203,142.0
204,143.0
205,144.5
206,146.0
207,150.5
208,153.5
209,156.5
210,158.5
211,158.5
212,155.0
213,149.5
214,140.7037037037037
215,134.33333333333331
216,125.5
217,116.5
218,111.0
219,109.5
220,108.5
221,107.0
222,107.0
223,108.0
224,109.0
225,110.5
226,111.0
227,107.5
228,103.52941176470588
229,102.0
230,93.79166666666666
231,85.86363636363637
232,78.26666666666668
233,74.5
234,70.5
235,68.0
236,65.5
237,64.0
238,63.5
239,62.5
240,60.5
241,59.0
242,57.0
243,54.55555555555554
244,52.5
245,50.5
246,49.0
247,49.0
248,48.5
249,48.0
250,48.0
251,48.0
252,48.0
253,48.0
254,48.0
255,48.0
256,48.0
257,48.0
258,48.0
259,48.0
260,47.5
261,47.5
262,48.0
263,48.0
264,48.0
265,48.0
266,47.5
267,48.0
268,48.0
269,48.5
270,48.0
271,48.0
272,48.0
273,48.0
274,48.5
275,48.5
276,48.0
277,48.0
278,47.5
