x_rel,y_rel
1,94.225
2,69.28947368421052
3,59.08333333333334
4,48.0
5,48.0
6,48.0
7,48.0
8,48.5
9,48.5
10,48.5
11,48.5
12,48.5
13,48.5
14,48.5
15,49.0
16,50.0
17,50.0
18,49.5
19,49.5
20,51.5
21,51.5
22,51.5
23,51.0
24,50.5
25,50.0
26,55.0
27,53.928571428571416
28,53.73333333333332
29,51.0
30,51.5
31,52.5
32,54.5
33,54.0
34,51.0
35,50.625
36,51.0
37,52.0
38,51.5
39,50.0
40,50.0
41,49.5
42,48.5
43,48.5
44,48.0
45,48.5
46,48.5
47,48.0
48,48.5
49,48.5
50,49.0
51,48.5
52,48.5
53,48.0
54,48.0
55,48.0
56,48.5
57,48.0
58,47.5
59,48.0
60,47.5
61,47.5
62,47.5
63,48.0
64,48.5
65,49.0
66,49.0
67,49.0
68,48.5
69,48.5
70,48.5
71,47.5
72,48.5
73,49.0
74,48.5
75,48.5
76,48.5
77,48.0
78,48.0
79,48.0
80,47.5
81,48.5
82,49.0
83,48.5
84,49.0
85,50.0
86,55.117647058823536
87,66.5
88,84.83333333333334
89,94.30232558139534
90,95.30000000000001
91,89.36666666666667
92,93.43243243243242
93,117.45569620253164
94,120.4578313253012
95,132.8395061728395
96,155.8857142857143
97,153.0
98,156.0
99,166.5
100,185.0
101,187.0
102,175.27868852459017
103,173.46969696969697
104,170.5
105,151.0
106,136.5
107,133.5
108,111.58928571428571
109,86.79245283018867
110,82.74074074074073
111,63.5
112,63.0
113,55.0
114,49.5
115,49.0
116,48.5
117,48.5
118,48.0
119,47.5
120,47.5
121,47.5
122,48.0
123,48.0
124,48.0
125,48.5
126,48.5
127,48.0
128,48.5
129,48.5
130,48.5
131,48.0
132,48.5
133,48.0
134,48.0
135,47.5
136,47.5
137,47.5
138,47.5
139,48.0
140,48.0
141,47.5
142,48.0
143,49.0
144,48.0
145,48.0
146,48.0
147,48.0
148,48.0
149,48.0
150,48.5
151,48.0
152,48.0
153,48.0
154,48.0
155,48.0
156,49.0
157,49.0
158,48.5
159,48.5
160,48.5
161,48.5
162,47.5
163,48.0
164,47.5
165,47.5
166,48.0
167,48.0
168,48.5
169,48.5
170,48.400000000000006
171,48.0
172,48.5
173,48.0
174,48.0
175,48.0
176,48.0
177,48.5
178,50.0
179,50.5
180,50.5
181,51.0
182,51.5
183,52.0
184,52.5
185,52.5
186,52.5
187,50.5
188,50.0
189,49.0
190,49.0
191,50.0
192,50.5
193,50.5
194,51.0
195,51.0
196,49.571428571428584
197,49.5
198,49.0
199,49.0
200,48.0
201,48.0
202,48.0
203,48.0
204,48.0
205,48.0
206,48.0
207,48.0
208,49.0
209,49.5
210,48.5
211,48.5
212,48.0
213,47.5
214,47.5
215,48.0
216,48.0
217,48.0
218,47.5
219,47.5
220,47.5
221,47.5
222,48.0
223,47.5
224,48.0
225,48.0
226,48.5
227,48.0
228,48.0
229,48.5
230,47.85714285714286
231,47.71428571428572
232,48.28571428571428
233,48.5
234,48.5
235,48.0
236,48.0
237,49.0
238,49.0
239,48.5
240,49.0
241,47.85714285714286
242,48.0
243,49.14285714285714
244,48.0
245,48.0
246,48.5
247,48.5
248,48.5
249,48.5
250,48.0
251,48.5
252,49.0
253,48.5
254,48.5
255,49.0
256,49.0
257,49.0
258,48.0
259,48.0
260,48.0
261,48.5
262,48.5
263,48.5
264,48.5
265,48.0
266,48.0
267,48.0
268,48.5
269,48.5
270,48.0
271,48.0
272,47.5
273,47.5
274,47.5
275,48.0
276,48.0
277,48.5
278,48.5
