x_rel,y_rel
1,48.400000000000006
2,48.0
3,48.0
4,48.5
5,48.5
6,48.5
7,48.5
8,48.5
9,48.5
10,48.5
11,48.5
12,48.5
13,48.5
14,48.5
15,48.5
16,49.5
17,49.5
18,49.5
19,49.5
20,49.5
21,50.0
22,50.0
23,49.5
24,49.5
25,49.0
26,49.5
27,50.5
28,51.099999999999994
29,51.900000000000006
30,52.55555555555554
31,53.77777777777777
32,54.0
33,52.5
34,52.0
35,49.5
36,50.5
37,52.16666666666666
38,52.69230769230768
39,52.69230769230768
40,54.45454545454547
41,57.5
42,56.0
43,55.0
44,54.5
45,52.0
46,52.0
47,53.0
48,52.0
49,52.0
50,52.5
51,52.69999999999999
52,52.363636363636374
53,52.5
54,51.5
55,50.0
56,50.5
57,52.5
58,53.0
59,53.5
60,52.5
61,51.5
62,51.0
63,50.0
64,48.5
65,48.5
66,48.5
67,48.5
68,48.5
69,48.5
70,48.5
71,48.5
72,48.5
73,48.5
74,48.5
75,48.5
76,48.0
77,47.5
78,48.0
79,48.0
80,48.0
81,47.5
82,48.0
83,48.0
84,48.0
85,48.0
86,48.0
87,48.0
88,48.0
89,48.0
90,48.5
91,48.0
92,48.0
93,48.5
94,48.5
95,48.5
96,48.0
97,48.0
98,47.5
99,48.0
100,47.5
101,47.5
102,48.0
103,48.5
104,48.5
105,48.0
106,47.5
107,48.0
108,48.0
109,48.0
110,48.0
111,48.0
112,48.0
113,48.5
114,48.5
115,48.5
116,48.0
117,48.5
118,48.5
119,49.0
120,49.0
121,49.0
122,48.5
123,48.0
124,48.0
125,48.0
126,48.5
127,48.5
128,48.5
129,48.5
130,48.5
131,48.5
132,48.5
133,48.5
134,48.5
135,48.5
136,48.0
137,48.0
138,48.0
139,48.5
140,48.0
141,48.0
142,48.0
143,48.0
144,47.5
145,48.0
146,48.0
147,48.0
148,47.5
149,48.0
150,48.5
151,48.5
152,48.5
153,48.5
154,48.0
155,48.0
156,48.0
157,49.0
158,51.0
159,55.0
160,59.0
161,65.06896551724137
162,70.5
163,80.35714285714286
164,92.0
165,100.5
166,101.0
167,104.5
168,102.5
169,98.58333333333333
170,85.42105263157896
171,80.5
172,87.5
173,97.225
174,115.5079365079365
175,118.69117647058823
176,133.85135135135135
177,141.24561403508773
178,147.05405405405406
179,146.0263157894737
180,138.63333333333333
181,129.04761904761904
182,140.38709677419354
183,142.91176470588235
184,145.38888888888889
185,150.63333333333333
186,161.85714285714286
187,177.05263157894737
188,183.0
189,188.0
190,192.0
191,186.05
192,178.0
193,177.5
194,169.5
195,158.86842105263156
196,148.0
197,151.0
198,149.45833333333331
199,140.4090909090909
200,135.0
201,131.16981132075472
202,127.06382978723404
203,115.66666666666667
204,109.0
205,103.6
206,91.97777777777779
207,85.46938775510205
208,75.34375
209,64.68181818181819
210,59.58333333333334
211,57.5
212,55.0
213,53.5
214,50.0
215,48.5
216,48.5
217,48.5
218,48.0
219,48.0
220,48.0
221,47.5
222,47.5
223,48.0
224,47.5
225,48.0
226,47.5
227,48.0
228,48.0
229,48.0
230,47.5
231,48.0
232,47.5
233,48.0
234,47.5
235,47.5
236,48.0
237,48.0
238,48.0
239,48.0
240,47.5
241,47.5
242,48.0
243,47.5
244,47.5
245,47.5
246,47.5
247,48.5
248,48.5
249,48.5
250,47.5
251,48.0
252,48.0
253,47.5
254,48.0
255,48.0
256,47.0
257,47.0
258,48.0
259,48.0
260,48.5
261,48.5
262,49.0
263,49.0
264,49.0
265,49.0
266,48.5
267,48.0
268,48.0
269,48.0
270,47.5
271,47.5
272,48.0
273,48.0
274,48.0
275,47.5
276,47.5
277,48.0
278,48.0
