x_rel,y_rel,x_abs,res
1.0,94.225,99.0 Hz,low
2.0,69.28947368421052,134.74368231046932 Hz,low
3.0,59.08333333333334,170.48736462093865 Hz,low
4.0,48.0,206.23104693140795 Hz,low
5.0,48.0,241.97472924187727 Hz,low
6.0,48.0,277.7184115523466 Hz,low
7.0,48.0,313.4620938628159 Hz,low
8.0,48.5,349.20577617328524 Hz,low
9.0,48.5,384.94945848375454 Hz,low
10.0,48.5,420.69314079422384 Hz,low
11.0,48.5,456.4368231046932 Hz,low
12.0,48.5,492.1805054151625 Hz,low
13.0,48.5,527.9241877256318 Hz,low
14.0,48.5,563.6678700361011 Hz,low
15.0,49.0,599.4115523465705 Hz,low
16.0,50.0,635.1552346570397 Hz,low
17.0,50.0,670.8989169675091 Hz,low
18.0,49.5,706.6425992779784 Hz,low
19.0,49.5,742.3862815884477 Hz,low
20.0,51.5,778.129963898917 Hz,low
21.0,51.5,813.8736462093864 Hz,low
22.0,51.5,849.6173285198556 Hz,low
23.0,51.0,885.361010830325 Hz,low
24.0,50.5,921.1046931407943 Hz,low
25.0,50.0,956.8483754512636 Hz,low
26.0,55.0,992.5920577617329 Hz,low
27.0,53.928571428571416,1028.3357400722023 Hz,low
28.0,53.73333333333332,1064.0794223826715 Hz,low
29.0,51.0,1099.823104693141 Hz,low
30.0,51.5,1135.5667870036102 Hz,low
31.0,52.5,1171.3104693140795 Hz,low
32.0,54.5,1207.054151624549 Hz,low
33.0,54.0,1242.7978339350182 Hz,low
34.0,51.0,1278.5415162454874 Hz,low
35.0,50.625,1314.2851985559569 Hz,low
36.0,51.0,1350.028880866426 Hz,low
37.0,52.0,1385.7725631768953 Hz,low
38.0,51.5,1421.5162454873648 Hz,low
39.0,50.0,1457.259927797834 Hz,low
40.0,50.0,1493.0036101083033 Hz,low
41.0,49.5,1528.7472924187728 Hz,low
42.0,48.5,1564.490974729242 Hz,low
43.0,48.5,1600.2346570397112 Hz,low
44.0,48.0,1635.9783393501807 Hz,low
45.0,48.5,1671.72202166065 Hz,low
46.0,48.5,1707.4657039711192 Hz,low
47.0,48.0,1743.2093862815886 Hz,low
48.0,48.5,1778.953068592058 Hz,low
49.0,48.5,1814.6967509025271 Hz,low
50.0,49.0,1850.4404332129966 Hz,low
51.0,48.5,1886.1841155234658 Hz,low
52.0,48.5,1921.9277978339353 Hz,low
53.0,48.0,1957.6714801444045 Hz,low
54.0,48.0,1993.4151624548738 Hz,low
55.0,48.0,2029.1588447653432 Hz,low
56.0,48.5,2064.9025270758125 Hz,low
57.0,48.0,2100.646209386282 Hz,low
58.0,47.5,2136.389891696751 Hz,low
59.0,48.0,2172.1335740072204 Hz,low
60.0,47.5,2207.87725631769 Hz,low
61.0,47.5,2243.620938628159 Hz,low
62.0,47.5,2279.3646209386284 Hz,low
63.0,48.0,2315.108303249098 Hz,low
64.0,48.5,2350.851985559567 Hz,low
65.0,49.0,2386.5956678700363 Hz,low
66.0,49.0,2422.339350180506 Hz,low
67.0,49.0,2458.083032490975 Hz,low
68.0,48.5,2493.8267148014443 Hz,low
69.0,48.5,2529.5703971119137 Hz,low
70.0,48.5,2565.3140794223827 Hz,low
71.0,47.5,2601.057761732852 Hz,low
72.0,48.5,2636.8014440433217 Hz,low
73.0,49.0,2672.5451263537907 Hz,low
74.0,48.5,2708.28880866426 Hz,low
75.0,48.5,2744.0324909747296 Hz,low
76.0,48.5,2779.7761732851986 Hz,low
77.0,48.0,2815.519855595668 Hz,low
78.0,48.0,2851.2635379061376 Hz,low
79.0,48.0,2887.0072202166066 Hz,low
80.0,47.5,2922.750902527076 Hz,low
81.0,48.5,2958.4945848375455 Hz,low
82.0,49.0,2994.2382671480145 Hz,low
83.0,48.5,3029.981949458484 Hz,low
84.0,49.0,3065.7256317689535 Hz,low
85.0,50.0,3101.4693140794225 Hz,low
86.0,55.117647058823536,3137.212996389892 Hz,low
87.0,66.5,3172.9566787003614 Hz,low
88.0,84.83333333333334,3208.7003610108304 Hz,low
89.0,94.30232558139534,3244.4440433213 Hz,low
90.0,95.30000000000001,3280.1877256317694 Hz,low
91.0,89.36666666666667,3315.9314079422384 Hz,low
92.0,93.43243243243242,3351.675090252708 Hz,low
93.0,117.45569620253164,3387.4187725631773 Hz,low
94.0,120.4578313253012,3423.1624548736463 Hz,low
95.0,132.8395061728395,3458.906137184116 Hz,low
96.0,155.8857142857143,3494.6498194945852 Hz,low
97.0,153.0,3530.3935018050543 Hz,low
98.0,156.0,3566.1371841155237 Hz,low
99.0,166.5,3601.880866425993 Hz,low
100.0,185.0,3637.6245487364627 Hz,low
101.0,187.0,3673.3682310469317 Hz,low
102.0,175.27868852459017,3709.111913357401 Hz,low
103.0,173.46969696969697,3744.8555956678706 Hz,low
104.0,170.5,3780.5992779783396 Hz,low
105.0,151.0,3816.342960288809 Hz,low
106.0,136.5,3852.0866425992785 Hz,low
107.0,133.5,3887.8303249097476 Hz,low
108.0,111.58928571428571,3923.574007220217 Hz,low
109.0,86.79245283018867,3959.3176895306865 Hz,low
110.0,82.74074074074073,3995.0613718411555 Hz,low
111.0,63.5,4030.805054151625 Hz,low
112.0,63.0,4066.5487364620944 Hz,low
113.0,55.0,4102.292418772564 Hz,low
114.0,49.5,4138.036101083033 Hz,low
115.0,49.0,4173.779783393502 Hz,low
116.0,48.5,4209.523465703972 Hz,low
117.0,48.5,4245.267148014441 Hz,low
118.0,48.0,4281.01083032491 Hz,low
119.0,47.5,4316.75451263538 Hz,low
120.0,47.5,4352.498194945849 Hz,low
121.0,47.5,4388.241877256318 Hz,low
122.0,48.0,4423.985559566788 Hz,low
123.0,48.0,4459.729241877257 Hz,low
124.0,48.0,4495.472924187726 Hz,low
125.0,48.5,4531.216606498196 Hz,low
126.0,48.5,4566.960288808665 Hz,low
127.0,48.0,4602.703971119134 Hz,low
128.0,48.5,4638.447653429604 Hz,low
129.0,48.5,4674.191335740073 Hz,low
