x_rel,y_rel
1,48.400000000000006
2,48.0
3,48.0
4,48.0
5,48.5
6,48.5
7,48.5
8,48.5
9,48.0
10,48.0
11,48.0
12,48.0
13,48.0
14,48.0
15,48.5
16,48.5
17,48.0
18,47.5
19,48.0
20,47.5
21,47.0
22,47.5
23,48.0
24,48.0
25,47.5
26,47.5
27,47.5
28,48.0
29,48.0
30,48.0
31,48.0
32,48.0
33,48.0
34,48.0
35,48.0
36,48.0
37,48.5
38,48.0
39,48.0
40,48.0
41,48.5
42,48.0
43,48.5
44,48.0
45,48.0
46,48.0
47,48.0
48,48.0
49,48.0
50,47.5
51,48.5
52,47.5
53,48.0
54,48.5
55,48.5
56,48.5
57,48.5
58,48.0
59,48.0
60,48.0
61,47.5
62,48.0
63,48.0
64,48.0
65,48.0
66,48.0
67,48.0
68,48.0
69,48.0
70,48.5
71,47.5
72,48.0
73,48.0
74,48.0
75,48.0
76,48.0
77,48.0
78,48.0
79,48.0
80,48.0
81,48.0
82,48.0
83,48.0
84,48.0
85,48.0
86,48.0
87,47.5
88,48.0
89,48.0
90,48.5
91,48.0
92,48.5
93,48.5
94,48.5
95,48.5
96,48.5
97,48.0
98,48.0
99,48.0
100,47.5
101,47.5
102,48.0
103,48.5
104,48.5
105,48.0
106,48.0
107,48.5
108,48.5
109,48.5
110,48.5
111,48.5
112,49.0
113,49.0
114,49.0
115,49.5
116,50.5
117,52.0
118,53.5
119,56.0
120,58.0
121,59.0
122,61.0
123,62.5
124,64.5
125,66.5
126,68.5
127,72.5
128,76.0
129,78.0
130,78.5
131,78.5
132,78.0
133,76.0
134,75.0
135,74.5
136,75.0
137,77.0
138,78.5
139,79.5
140,82.0
141,87.5
142,93.5
143,99.5
144,105.0
145,109.5
146,113.5
147,112.0
148,111.5
149,109.0
150,105.5
151,102.5
152,101.0
153,101.0
154,102.5
155,105.0
156,109.0
157,110.0
158,117.0
159,123.5
160,130.0
161,139.0
162,145.0
163,149.4375
164,154.5
165,153.5
166,153.0
167,150.5
168,146.5
169,145.5
170,144.0
171,144.0
172,145.0
173,147.5
174,149.5
175,150.5
176,153.0
177,156.0
178,161.5
179,163.5
180,166.0
181,167.5
182,171.5
183,173.5
184,174.5
185,178.0
186,183.0
187,188.10526315789474
188,194.5
189,197.4375
190,200.5
191,201.0
192,196.5
193,196.0
194,189.43333333333334
195,182.04
196,177.0
197,171.31578947368422
198,167.0
199,165.5
200,166.5
201,167.0
202,167.0
203,167.0
204,165.0
205,160.89473684210526
206,155.5
207,145.5
208,136.0
209,130.0
210,124.5
211,123.5
212,120.0
213,118.5
214,117.0
215,115.5
216,111.4375
217,104.5
218,99.5
219,91.5
220,90.5
221,83.0
222,78.0
223,74.0
224,70.0
225,68.0
226,67.0
227,66.0
228,66.0
229,66.5
230,66.5
231,67.0
232,67.0
233,64.5
234,62.5
235,60.0
236,57.0
237,54.0
238,53.5
239,53.0
240,52.5
241,51.5
242,51.0
243,50.5
244,49.5
245,48.5
246,48.0
247,48.5
248,48.5
249,48.5
250,48.5
251,48.5
252,48.5
253,48.0
254,48.5
255,48.5
256,48.5
257,48.5
258,47.5
259,47.5
260,48.0
261,47.5
262,48.0
263,48.0
264,48.0
265,48.0
266,47.5
267,48.0
268,48.0
269,48.0
270,48.0
271,47.5
272,48.0
273,48.0
274,48.0
275,48.0
276,48.5
277,48.0
278,48.0
