x_rel,y_rel
1,49.0
2,48.5
3,48.5
4,48.0
5,47.5
6,48.5
7,48.5
8,48.5
9,48.0
10,48.5
11,48.5
12,49.0
13,49.0
14,49.0
15,48.5
16,49.5
17,50.5
18,50.5
19,50.5
20,51.5
21,52.5
22,53.0
23,53.5
24,53.0
25,54.5
26,55.0
27,55.0
28,54.5
29,54.5
30,54.0
31,54.0
32,54.5
33,55.0
34,53.0
35,51.80000000000001
36,50.0
37,49.5
38,49.0
39,48.5
40,48.5
41,48.5
42,48.0
43,47.5
44,48.0
45,48.5
46,48.5
47,48.5
48,48.5
49,48.5
50,48.5
51,48.5
52,48.0
53,48.0
54,48.5
55,49.0
56,49.0
57,48.5
58,48.5
59,48.0
60,48.5
61,48.0
62,48.0
63,48.0
64,47.5
65,48.5
66,48.0
67,48.0
68,48.5
69,48.5
70,48.5
71,48.5
72,48.0
73,48.0
74,48.5
75,48.5
76,48.5
77,48.5
78,48.5
79,48.5
80,48.0
81,48.0
82,48.0
83,48.5
84,48.5
85,48.5
86,50.5
87,60.0
88,66.5
89,71.5
90,84.24000000000001
91,95.35555555555555
92,99.5
93,109.0
94,109.0
95,127.0
96,131.5
97,148.3181818181818
98,155.0
99,166.47727272727272
100,181.5
101,184.0
102,183.0
103,180.38095238095238
104,161.5625
105,142.0
106,123.01639344262296
107,95.5
108,88.5
109,61.0
110,59.5
111,56.5
112,55.5
113,49.0
114,49.0
115,48.5
116,48.5
117,48.5
118,48.5
119,49.0
120,48.5
121,48.5
122,48.5
123,48.0
124,48.0
125,48.5
126,47.5
127,48.0
128,48.5
129,48.5
130,48.5
131,48.5
132,48.5
133,48.5
134,48.5
135,48.5
136,48.5
137,47.5
138,47.5
139,48.0
140,48.5
141,48.5
142,48.0
143,47.5
144,48.5
145,48.0
146,48.0
147,48.5
148,48.5
149,48.5
150,48.0
151,48.0
152,48.0
153,48.0
154,48.5
155,48.0
156,48.0
157,48.0
158,48.0
159,48.5
160,48.0
161,47.5
162,47.5
163,48.0
164,47.5
165,47.5
166,48.0
167,48.0
168,48.0
169,48.5
170,47.19999999999999
171,48.0
172,48.5
173,48.5
174,48.0
175,48.0
176,49.0
177,49.0
178,49.5
179,49.5
180,49.5
181,49.0
182,49.5
183,50.0
184,50.5
185,50.5
186,51.0
187,51.5
188,51.0
189,50.5
190,52.0
191,52.0
192,52.0
193,51.0
194,50.5
195,49.5
196,49.0
197,49.0
198,48.5
199,48.5
200,48.5
201,49.0
202,49.0
203,48.0
204,48.5
205,48.0
206,48.0
207,48.0
208,49.0
209,48.5
210,48.5
211,48.5
212,48.0
213,48.5
214,48.5
215,49.0
216,49.0
217,49.0
218,49.0
219,50.0
220,50.0
221,50.0
222,50.0
223,50.0
224,51.0
225,50.5
226,50.5
227,48.5
228,48.5
229,48.5
230,48.5
231,48.5
232,48.5
233,49.0
234,48.5
235,48.5
236,49.0
237,49.5
238,50.0
239,50.5
240,50.5
241,50.0
242,49.5
243,49.5
244,49.0
245,48.5
246,49.0
247,49.0
248,49.0
249,49.0
250,48.5
251,48.5
252,48.5
253,48.5
254,48.5
255,48.5
256,48.5
257,48.0
258,48.0
259,47.5
260,47.5
261,48.5
262,48.5
263,48.5
264,48.5
265,48.5
266,49.0
267,49.5
268,49.0
269,48.5
270,48.5
271,48.5
272,49.5
273,49.5
274,49.5
275,49.0
276,49.0
277,49.0
278,49.0
