x_rel,y_rel
1,49.0
2,48.0
3,48.0
4,48.5
5,48.5
6,48.5
7,48.0
8,48.5
9,48.0
10,48.5
11,48.5
12,48.5
13,48.5
14,48.5
15,48.5
16,48.0
17,48.0
18,48.5
19,48.5
20,48.5
21,48.5
22,48.5
23,48.5
24,49.0
25,49.0
26,48.5
27,48.5
28,48.5
29,49.0
30,50.0
31,50.5
32,51.0
33,51.5
34,51.0
35,50.0
36,50.5
37,50.0
38,51.0
39,52.0
40,52.5
41,53.5
42,54.5
43,54.5
44,54.5
45,53.5
46,53.0
47,53.5
48,54.0
49,54.5
50,55.5
51,55.5
52,55.125
53,53.0
54,53.0
55,53.0
56,53.5
57,54.0
58,54.5
59,54.0
60,53.0
61,52.0
62,52.0
63,51.5
64,53.0
65,52.5
66,52.0
67,51.5
68,50.5
69,49.5
70,49.5
71,49.5
72,49.5
73,49.5
74,48.5
75,48.5
76,48.0
77,48.0
78,48.0
79,48.0
80,47.5
81,47.5
82,48.0
83,47.5
84,47.5
85,48.5
86,48.5
87,48.5
88,48.5
89,48.0
90,48.5
91,48.5
92,48.0
93,48.0
94,48.5
95,48.5
96,48.5
97,48.5
98,48.0
99,48.0
100,47.5
101,48.5
102,48.5
103,48.5
104,48.0
105,47.5
106,47.5
107,48.5
108,48.0
109,48.5
110,48.0
111,48.0
112,48.0
113,48.0
114,48.5
115,48.5
116,48.5
117,48.0
118,48.0
119,47.5
120,48.0
121,48.0
122,47.5
123,48.5
124,48.0
125,48.5
126,48.0
127,48.5
128,48.0
129,48.0
130,48.0
131,48.0
132,48.0
133,48.0
134,48.5
135,48.0
136,47.5
137,47.5
138,48.0
139,48.0
140,48.0
141,48.5
142,48.5
143,48.0
144,48.0
145,48.0
146,48.0
147,48.0
148,48.5
149,48.5
150,48.0
151,47.5
152,47.5
153,47.5
154,48.0
155,48.5
156,48.5
157,48.5
158,48.5
159,48.0
160,48.5
161,48.0
162,48.5
163,48.5
164,48.5
165,48.5
166,48.0
167,48.0
168,48.0
169,48.0
170,48.400000000000006
171,51.0
172,53.5
173,56.0
174,60.0
175,62.086956521739125
176,68.5
177,71.5
178,75.0
179,76.5
180,79.5625
181,86.71428571428572
182,96.0
183,99.5
184,100.0
185,107.4090909090909
186,108.0
187,108.5
188,118.05128205128206
189,128.0
190,133.0
191,144.0
192,148.5
193,148.5
194,148.0
195,149.5
196,155.0
197,159.0
198,169.6451612903226
199,181.60526315789474
200,187.5
201,190.44117647058823
202,190.44117647058823
203,186.0
204,183.75
205,179.52777777777777
206,165.0
207,148.5
208,143.5
209,140.0
210,127.17948717948718
211,123.02702702702703
212,104.0
213,95.47916666666666
214,92.0204081632653
215,84.35
216,71.26666666666668
217,67.0
218,61.0
219,60.0
220,59.0
221,58.5
222,54.133333333333326
223,50.5
224,49.0
225,48.5
226,48.0
227,48.5
228,48.5
229,48.5
230,48.5
231,48.5
232,47.5
233,48.5
234,48.5
235,48.5
236,48.0
237,48.0
238,48.0
239,48.5
240,48.5
241,48.0
242,47.5
243,48.5
244,48.0
245,48.0
246,48.0
247,48.5
248,48.5
249,48.5
250,48.5
251,48.5
252,48.5
253,48.5
254,48.5
255,48.5
256,48.0
257,48.0
258,48.5
259,48.5
260,48.5
261,49.0
262,49.0
263,48.0
264,48.0
265,48.5
266,48.5
267,48.0
268,48.5
269,49.0
270,49.0
271,49.0
272,49.0
273,49.0
274,49.0
275,48.5
276,49.0
277,49.0
278,48.0
