x_rel,y_rel,x_abs,res
1.0,49.0,99.0 Hz,low
2.0,48.5,134.74368231046932 Hz,low
3.0,48.5,170.48736462093865 Hz,low
4.0,48.0,206.23104693140795 Hz,low
5.0,47.5,241.97472924187727 Hz,low
6.0,48.5,277.7184115523466 Hz,low
7.0,48.5,313.4620938628159 Hz,low
8.0,48.5,349.20577617328524 Hz,low
9.0,48.0,384.94945848375454 Hz,low
10.0,48.5,420.69314079422384 Hz,low
11.0,48.5,456.4368231046932 Hz,low
12.0,49.0,492.1805054151625 Hz,low
13.0,49.0,527.9241877256318 Hz,low
14.0,49.0,563.6678700361011 Hz,low
15.0,48.5,599.4115523465705 Hz,low
16.0,49.5,635.1552346570397 Hz,low
17.0,50.5,670.8989169675091 Hz,low
18.0,50.5,706.6425992779784 Hz,low
19.0,50.5,742.3862815884477 Hz,low
20.0,51.5,778.129963898917 Hz,low
21.0,52.5,813.8736462093864 Hz,low
22.0,53.0,849.6173285198556 Hz,low
23.0,53.5,885.361010830325 Hz,low
24.0,53.0,921.1046931407943 Hz,low
25.0,54.5,956.8483754512636 Hz,low
26.0,55.0,992.5920577617329 Hz,low
27.0,55.0,1028.3357400722023 Hz,low
28.0,54.5,1064.0794223826715 Hz,low
29.0,54.5,1099.823104693141 Hz,low
30.0,54.0,1135.5667870036102 Hz,low
31.0,54.0,1171.3104693140795 Hz,low
32.0,54.5,1207.054151624549 Hz,low
33.0,55.0,1242.7978339350182 Hz,low
34.0,53.0,1278.5415162454874 Hz,low
35.0,51.80000000000001,1314.2851985559569 Hz,low
36.0,50.0,1350.028880866426 Hz,low
37.0,49.5,1385.7725631768953 Hz,low
38.0,49.0,1421.5162454873648 Hz,low
39.0,48.5,1457.259927797834 Hz,low
40.0,48.5,1493.0036101083033 Hz,low
41.0,48.5,1528.7472924187728 Hz,low
42.0,48.0,1564.490974729242 Hz,low
43.0,47.5,1600.2346570397112 Hz,low
44.0,48.0,1635.9783393501807 Hz,low
45.0,48.5,1671.72202166065 Hz,low
46.0,48.5,1707.4657039711192 Hz,low
47.0,48.5,1743.2093862815886 Hz,low
48.0,48.5,1778.953068592058 Hz,low
49.0,48.5,1814.6967509025271 Hz,low
50.0,48.5,1850.4404332129966 Hz,low
51.0,48.5,1886.1841155234658 Hz,low
52.0,48.0,1921.9277978339353 Hz,low
53.0,48.0,1957.6714801444045 Hz,low
54.0,48.5,1993.4151624548738 Hz,low
55.0,49.0,2029.1588447653432 Hz,low
56.0,49.0,2064.9025270758125 Hz,low
57.0,48.5,2100.646209386282 Hz,low
58.0,48.5,2136.389891696751 Hz,low
59.0,48.0,2172.1335740072204 Hz,low
60.0,48.5,2207.87725631769 Hz,low
61.0,48.0,2243.620938628159 Hz,low
