x_rel,y_rel
1,49.0
2,49.0
3,49.0
4,48.5
5,48.5
6,48.0
7,48.5
8,48.5
9,48.5
10,49.0
11,48.0
12,48.0
13,48.5
14,48.5
15,48.5
16,48.5
17,48.0
18,47.5
19,48.0
20,48.5
21,48.0
22,48.0
23,48.5
24,48.5
25,48.5
26,48.5
27,48.5
28,48.5
29,48.5
30,48.0
31,48.0
32,48.5
33,48.5
34,48.0
35,48.5
36,48.5
37,48.5
38,48.0
39,48.0
40,48.0
41,48.0
42,48.5
43,48.5
44,47.5
45,48.5
46,48.5
47,48.5
48,49.0
49,49.0
50,49.0
51,48.5
52,48.5
53,48.5
54,48.5
55,48.0
56,48.5
57,48.5
58,49.0
59,49.0
60,49.0
61,49.5
62,51.0
63,52.75
64,54.0
65,55.0
66,56.5
67,57.0
68,57.0
69,57.5
70,59.0
71,62.0
72,64.0
73,66.5
74,71.0
75,74.5
76,75.5
77,79.0
78,80.5
79,80.0
80,78.18181818181819
81,77.0
82,75.0
83,76.0
84,78.5
85,79.5
86,82.0
87,84.0
88,89.0
89,92.5
90,95.5
91,96.0
92,94.5
93,94.5
94,93.5
95,92.0
96,91.0
97,91.5
98,92.0
99,92.5
100,94.5
101,96.5
102,98.0
103,99.0
104,100.0
105,101.0
106,100.5
107,99.5
108,98.0
109,97.5
110,97.0
111,96.5
112,96.5
113,98.5
114,100.6
115,104.0
116,106.5
117,109.5
118,109.5
119,106.5
120,102.0
121,101.0
122,97.0
123,92.0
124,87.0
125,83.66666666666666
126,82.5
127,81.5
128,81.5
129,84.0
130,85.0
131,86.77777777777777
132,90.5
133,92.0
134,94.0
135,96.0
136,94.0
137,91.5
138,88.5
139,87.5
140,84.0
141,81.0
142,78.16666666666666
143,77.0
144,76.5
145,77.0
146,78.0
147,77.0
148,76.5
149,74.5
150,70.0
151,65.5
152,62.5
153,60.0
154,56.0
155,55.5
156,54.5
157,54.0
158,53.5
159,53.5
160,53.5
161,53.5
162,53.0
163,52.0
164,51.0
165,50.0
166,49.5
167,49.0
168,48.5
169,48.5
170,48.400000000000006
171,48.5
172,48.5
173,48.0
174,48.5
175,48.5
176,48.5
177,48.5
178,48.5
179,48.5
180,48.5
181,49.0
182,49.0
183,48.5
184,48.0
185,48.0
186,48.5
187,48.5
188,48.5
189,48.5
190,48.5
191,48.5
192,48.0
193,48.0
194,48.5
195,48.5
196,48.5
197,48.5
198,48.0
199,48.0
200,48.0
201,48.0
202,48.0
203,48.0
204,48.5
205,48.5
206,48.0
207,48.5
208,48.5
209,48.0
210,48.5
211,48.5
212,48.5
213,48.5
214,48.5
215,48.5
216,48.5
217,48.5
218,48.5
219,48.5
220,48.5
221,48.5
222,48.5
223,48.5
224,48.5
225,48.5
226,48.0
227,48.0
228,48.0
229,48.5
230,49.0
231,49.0
232,48.5
233,48.5
234,48.5
235,48.5
236,48.5
237,48.5
238,48.0
239,48.0
240,48.5
241,48.5
242,48.5
243,48.5
244,48.0
245,48.0
246,48.5
247,48.5
248,48.5
249,48.5
250,48.5
251,48.5
252,48.5
253,48.5
254,48.5
255,48.5
256,48.0
257,48.0
258,48.0
259,48.5
260,48.5
261,48.5
262,48.5
263,48.0
264,48.0
265,47.5
266,47.5
267,48.5
268,48.5
269,48.0
270,49.0
271,49.0
272,49.0
273,48.5
274,48.5
275,48.5
276,48.5
277,48.5
278,48.5
