x_rel,y_rel
1,49.571428571428584
2,48.5
3,49.0
4,48.5
5,48.5
6,48.5
7,49.0
8,49.0
9,49.0
10,49.5
11,49.5
12,49.5
13,49.0
14,49.0
15,49.5
16,50.5
17,50.0
18,50.0
19,51.0
20,55.5
21,55.5
22,56.0
23,55.5
24,53.5
25,52.5
26,50.5
27,50.0
28,49.5
29,49.0
30,48.5
31,48.5
32,48.5
33,48.5
34,48.5
35,48.5
36,48.5
37,48.5
38,48.5
39,48.5
40,48.5
41,48.5
42,49.0
43,49.0
44,49.0
45,49.0
46,48.5
47,48.0
48,49.0
49,49.0
50,49.0
51,48.5
52,48.5
53,48.5
54,48.5
55,48.5
56,50.5
57,51.0
58,54.5
59,59.04347826086956
60,69.0
61,71.0
62,83.46153846153845
63,85.5
64,89.5
65,94.0
66,95.5
67,96.5
68,102.0
69,97.0
70,95.5
71,90.19999999999999
72,88.0
73,87.0
74,77.55882352941177
75,67.0
76,66.0
77,63.5
78,51.0
79,50.0
80,49.0
81,48.5
82,48.5
83,48.5
84,48.5
85,48.5
86,48.0
87,48.0
88,48.5
89,48.5
90,48.5
91,48.0
92,48.0
93,48.0
94,48.0
95,48.0
96,48.5
97,49.0
98,49.0
99,48.5
100,48.5
101,49.0
102,48.5
103,48.5
104,49.0
105,48.0
106,48.0
107,48.5
108,48.5
109,49.0
110,50.0
111,50.0
112,50.0
113,48.5
114,48.5
115,48.5
116,48.5
117,49.0
118,49.0
119,51.44444444444446
120,60.5
121,61.5
122,67.5
123,74.0
124,83.89473684210526
125,91.0
126,91.5
127,83.0
128,79.5
129,72.5
130,72.0
131,71.0
132,70.5
133,64.0
134,58.5
135,54.5
136,50.0
137,49.0
138,49.0
139,49.0
140,48.5
141,48.5
142,49.0
143,48.5
144,48.0
145,48.5
146,48.5
147,49.0
148,49.0
149,48.5
150,48.5
151,48.5
152,48.0
153,48.5
154,48.5
155,48.5
156,48.5
157,48.5
158,48.0
159,48.0
160,48.5
161,48.0
162,48.0
163,48.5
164,48.0
165,48.0
166,48.0
167,48.0
168,48.5
169,48.0
170,47.83333333333334
171,48.0
172,48.0
173,48.0
174,48.5
175,48.5
176,48.0
177,48.0
178,48.0
179,48.5
180,49.0
181,50.0
182,50.5
183,51.0
184,51.5
185,52.0
186,52.0
187,51.5
188,51.5
189,51.0
190,50.0
191,50.5
192,51.0
193,51.0
194,50.0
195,50.0
196,48.5
197,48.0
198,48.5
199,48.5
200,48.0
201,48.0
202,48.0
203,48.0
204,48.0
205,48.0
206,48.0
207,48.0
208,48.0
209,48.5
210,48.5
211,48.5
212,48.5
213,48.0
214,48.5
215,48.0
216,48.0
217,47.5
218,48.0
219,48.0
220,48.0
221,48.0
222,48.0
223,48.5
224,48.5
225,48.5
226,49.5
227,49.0
228,48.5
229,48.5
230,48.5
231,48.5
232,48.5
233,48.5
234,48.5
235,48.5
236,48.5
237,48.5
238,48.5
239,49.0
240,48.5
241,48.5
242,48.5
243,48.5
244,48.5
245,48.5
246,48.5
247,48.5
248,48.5
249,48.0
250,48.0
251,48.0
252,48.0
253,48.5
254,48.5
255,48.5
256,48.5
257,48.5
258,48.5
259,48.0
260,48.0
261,48.0
262,48.0
263,48.0
264,48.5
265,48.0
266,47.5
267,48.5
268,48.5
269,48.5
270,48.5
271,48.5
272,48.5
273,48.5
274,48.5
275,48.5
276,52.5
277,52.38461538461539
278,51.5
