x_rel,y_rel
1,47.75
2,48.5
3,48.5
4,48.5
5,48.5
6,48.5
7,48.0
8,48.5
9,48.0
10,48.0
11,48.5
12,48.0
13,48.0
14,48.0
15,48.5
16,48.5
17,48.5
18,48.5
19,47.5
20,48.0
21,48.0
22,48.5
23,48.5
24,48.5
25,48.0
26,48.5
27,48.0
28,48.5
29,48.5
30,48.0
31,48.0
32,48.5
33,48.5
34,48.5
35,48.0
36,48.0
37,48.0
38,48.5
39,48.5
40,48.5
41,48.5
42,48.5
43,49.0
44,49.0
45,48.0
46,48.5
47,48.0
48,48.0
49,48.5
50,48.5
51,48.5
52,49.0
53,48.5
54,48.5
55,49.0
56,49.0
57,48.5
58,48.5
59,49.0
60,48.5
61,48.5
62,48.0
63,48.5
64,48.0
65,48.0
66,48.0
67,48.0
68,48.0
69,48.5
70,48.5
71,49.0
72,49.0
73,49.5
74,50.5
75,50.5
76,50.5
77,50.5
78,51.0
79,51.0
80,51.5
81,52.5
82,53.0
83,54.0
84,56.5
85,57.0
86,59.0
87,62.0
88,65.0
89,68.0
90,71.0
91,74.0
92,75.5
93,77.5
94,78.5
95,80.5
96,82.5
97,84.33333333333334
98,86.5
99,87.5
100,87.5
101,87.5
102,88.0
103,89.0
104,90.0
105,91.0
106,91.5
107,92.5
108,94.0
109,95.0
110,96.0
111,96.5
112,96.0
113,95.5
114,95.0
115,93.5
116,92.5
117,91.0
118,87.5
119,84.5
120,81.0
121,80.0
122,77.0
123,73.5
124,71.5
125,68.5
126,67.5
127,67.0
128,67.0
129,68.0
130,69.0
131,69.0
132,70.0
133,72.0
134,73.5
135,74.5
136,75.5
137,74.0
138,73.5
139,73.0
140,73.0
141,70.0
142,68.66666666666666
143,67.5
144,67.0
145,66.5
146,66.0
147,62.5
148,61.5
149,60.0
150,58.0
151,56.5
152,54.5
153,53.400000000000006
154,52.5
155,52.0
156,51.0
157,50.0
158,49.5
159,48.5
160,48.0
161,47.5
162,48.0
163,47.5
164,48.5
165,48.0
166,48.0
167,48.0
168,48.5
169,48.0
170,47.75
171,48.0
172,48.0
173,48.0
174,48.0
175,48.0
176,48.0
177,48.5
178,48.5
179,48.0
180,48.0
181,48.0
182,48.5
183,48.5
184,48.5
185,48.5
186,48.5
187,48.0
188,48.0
189,48.0
190,47.5
191,48.0
192,48.0
193,48.0
194,48.5
195,48.5
196,48.5
197,48.5
198,48.0
199,48.0
200,47.5
201,48.0
202,48.0
203,48.0
204,48.0
205,48.0
206,48.5
207,48.0
208,48.0
209,48.0
210,48.0
211,48.0
212,48.0
213,48.5
214,48.0
215,48.0
216,48.0
217,48.5
218,48.0
219,48.0
220,48.0
221,48.0
222,48.5
223,48.5
224,48.5
225,48.0
226,48.0
227,48.5
228,48.5
229,48.5
230,49.0
231,48.5
232,48.0
233,48.5
234,48.5
235,48.5
236,48.0
237,48.5
238,48.0
239,48.0
240,48.0
241,47.5
242,48.5
243,49.0
244,49.0
245,48.5
246,49.0
247,49.0
248,48.5
249,48.0
250,48.5
251,48.5
252,48.5
253,48.0
254,48.5
255,48.0
256,48.0
257,47.5
258,48.0
259,48.0
260,48.5
261,48.5
262,48.0
263,48.0
264,48.0
265,48.0
266,47.5
267,48.5
268,48.5
269,48.0
270,48.0
271,48.0
272,48.0
273,48.0
274,48.0
275,48.5
276,48.0
277,48.5
278,48.0
