x_rel,y_rel,x_abs,res
1.0,49.571428571428584,99.0,low
2.0,48.5,134.74368231046932,low
3.0,49.0,170.48736462093865,low
4.0,48.5,206.23104693140795,low
5.0,48.5,241.97472924187727,low
6.0,48.5,277.7184115523466,low
7.0,49.0,313.4620938628159,low
8.0,49.0,349.20577617328524,low
9.0,49.0,384.94945848375454,low
10.0,49.5,420.69314079422384,low
11.0,49.5,456.4368231046932,low
12.0,49.5,492.1805054151625,low
13.0,49.0,527.9241877256318,low
14.0,49.0,563.6678700361011,low
15.0,49.5,599.4115523465705,low
16.0,50.5,635.1552346570397,low
17.0,50.0,670.8989169675091,low
18.0,50.0,706.6425992779784,low
19.0,51.0,742.3862815884477,low
20.0,55.5,778.129963898917,low
21.0,55.5,813.8736462093864,low
22.0,56.0,849.6173285198556,low
23.0,55.5,885.361010830325,low
24.0,53.5,921.1046931407943,low
25.0,52.5,956.8483754512636,low
26.0,50.5,992.5920577617329,low
27.0,50.0,1028.3357400722023,low
28.0,49.5,1064.0794223826715,low
29.0,49.0,1099.823104693141,low
30.0,48.5,1135.5667870036102,low
31.0,48.5,1171.3104693140795,low
32.0,48.5,1207.054151624549,low
33.0,48.5,1242.7978339350182,low
34.0,48.5,1278.5415162454874,low
35.0,48.5,1314.2851985559569,low
36.0,48.5,1350.028880866426,low
37.0,48.5,1385.7725631768953,low
38.0,48.5,1421.5162454873648,low
39.0,48.5,1457.259927797834,low
40.0,48.5,1493.0036101083033,low
41.0,48.5,1528.7472924187728,low
42.0,49.0,1564.490974729242,low
43.0,49.0,1600.2346570397112,low
44.0,49.0,1635.9783393501807,low
45.0,49.0,1671.72202166065,low
46.0,48.5,1707.4657039711192,low
47.0,48.0,1743.2093862815886,low
48.0,49.0,1778.953068592058,low
49.0,49.0,1814.6967509025271,low
50.0,49.0,1850.4404332129966,low
51.0,48.5,1886.1841155234658,low
52.0,48.5,1921.9277978339353,low
53.0,48.5,1957.6714801444045,low
54.0,48.5,1993.4151624548738,low
55.0,48.5,2029.1588447653432,low
56.0,50.5,2064.9025270758125,low
57.0,51.0,2100.646209386282,low
58.0,54.5,2136.389891696751,low
59.0,59.04347826086956,2172.1335740072204,low
60.0,69.0,2207.87725631769,low
61.0,71.0,2243.620938628159,low
62.0,83.46153846153845,2279.3646209386284,low
63.0,85.5,2315.108303249098,low
64.0,89.5,2350.851985559567,low
65.0,94.0,2386.5956678700363,low
66.0,95.5,2422.339350180506,low
67.0,96.5,2458.083032490975,low
68.0,102.0,2493.8267148014443,low
69.0,97.0,2529.5703971119137,low
70.0,95.5,2565.3140794223827,low
71.0,90.19999999999999,2601.057761732852,low
72.0,88.0,2636.8014440433217,low
73.0,87.0,2672.5451263537907,low
74.0,77.55882352941177,2708.28880866426,low
75.0,67.0,2744.0324909747296,low
76.0,66.0,2779.7761732851986,low
77.0,63.5,2815.519855595668,low
78.0,51.0,2851.2635379061376,low
79.0,50.0,2887.0072202166066,low
80.0,49.0,2922.750902527076,low
81.0,48.5,2958.4945848375455,low
82.0,48.5,2994.2382671480145,low
83.0,48.5,3029.981949458484,low
84.0,48.5,3065.7256317689535,low
85.0,48.5,3101.4693140794225,low
86.0,48.0,3137.212996389892,low
87.0,48.0,3172.9566787003614,low
88.0,48.5,3208.7003610108304,low
89.0,48.5,3244.4440433213,low
90.0,48.5,3280.1877256317694,low
91.0,48.0,3315.9314079422384,low
92.0,48.0,3351.675090252708,low
93.0,48.0,3387.4187725631773,low
94.0,48.0,3423.1624548736463,low
95.0,48.0,3458.906137184116,low
96.0,48.5,3494.6498194945852,low
97.0,49.0,3530.3935018050543,low
98.0,49.0,3566.1371841155237,low
99.0,48.5,3601.880866425993,low
100.0,48.5,3637.6245487364627,low
101.0,49.0,3673.3682310469317,low
102.0,48.5,3709.111913357401,low
103.0,48.5,3744.8555956678706,low
104.0,49.0,3780.5992779783396,low
105.0,48.0,3816.342960288809,low
106.0,48.0,3852.0866425992785,low
107.0,48.5,3887.8303249097476,low
