x_rel,y_rel
1,NaN
2,48.5
3,48.5
4,48.5
5,48.5
6,49.0
7,49.5
8,50.0
9,50.0
10,50.0
11,50.5
12,51.0
13,51.0
14,52.0
15,52.0
16,52.5
17,53.0
18,54.0
19,55.5
20,57.0
21,58.0
22,59.0
23,61.0
24,63.5
25,65.0
26,68.0
27,70.0
28,74.5
29,78.5
30,84.0
31,87.5
32,95.0
33,99.71428571428571
34,107.0
35,112.0
36,121.0
37,125.0
38,132.0
39,136.5
40,141.0
41,142.0
42,145.0
43,147.0
44,149.5
45,151.0
46,152.5
47,153.0
48,152.5
49,152.0
50,150.5
51,149.0
52,146.0
53,143.5
54,139.5
55,137.5
56,132.5
57,130.0
58,126.0
59,124.5
60,122.5
61,120.5
62,119.0
63,118.5
64,118.0
65,117.5
66,117.5
67,118.0
68,118.5
69,119.5
70,121.5
71,122.5
72,124.5
73,126.5
74,130.0
75,131.5
76,135.5
77,138.5
78,144.0
79,147.0
80,152.0
81,155.0
82,160.5
83,164.5
84,168.5
85,170.0
86,173.0
87,174.5
88,174.0
89,172.5
90,167.5
91,165.0
92,159.5
93,155.5
94,150.0
95,147.0
96,141.5
97,137.0
98,133.0
99,129.5
100,126.5
101,125.5
102,122.5
103,121.5
104,119.5
105,119.0
106,117.5
107,117.0
108,116.5
109,116.5
110,116.0
111,116.0
112,116.5
113,117.0
114,118.0
115,118.5
116,120.0
117,121.0
118,122.5
119,124.5
120,126.0
121,127.0
122,130.5
123,132.0
124,135.5
125,137.5
126,141.0
127,144.0
128,147.5
129,150.0
130,153.5
131,155.0
132,158.0
133,160.5
134,162.0
135,163.5
136,165.5
137,166.0
138,167.0
139,167.0
140,166.5
141,165.5
142,164.5
143,163.5
144,162.0
145,161.0
146,159.5
147,158.0
148,156.0
149,155.5
150,154.5
151,153.0
152,152.0
153,152.0
154,151.0
155,150.0
156,149.5
157,148.5
158,147.5
159,146.0
160,145.5
161,144.5
162,143.0
163,142.0
164,140.5
165,138.5
166,137.0
167,135.0
168,133.5
169,131.0
170,128.5
171,126.0
172,123.0
173,121.0
174,119.0
175,117.0
176,114.5
177,113.0
178,110.5
179,109.0
180,107.5
181,106.5
182,105.0
183,104.5
184,103.0
185,102.0
186,101.0
187,101.0
188,100.5
189,100.0
190,100.0
191,100.0
192,100.0
193,100.0
194,101.0
195,101.0
196,102.0
197,102.5
198,103.5
199,104.5
200,105.5
201,106.5
202,108.5
203,109.5
204,110.5
205,112.0
206,112.5
207,113.5
208,114.0
209,114.5
210,114.0
211,114.0
212,112.5
213,111.5
214,109.5
215,108.5
216,104.0
217,102.0
218,99.5
219,98.0
220,94.5
221,93.5
222,91.5
223,90.5
224,88.5
225,88.0
226,86.0
227,86.0
228,85.0
229,85.0
230,84.5
231,84.5
232,84.5
233,85.0
234,85.5
235,86.0
236,87.0
237,87.5
238,88.5
239,89.0
240,90.0
241,90.0
242,89.5
243,88.5
244,87.5
245,84.0
246,81.5
247,79.5
248,76.5
249,73.5
250,70.5
251,68.5
252,66.0
253,64.0
254,62.5
255,61.5
256,60.0
257,59.0
258,58.0
259,57.5
260,57.0
261,56.0
262,56.0
263,55.5
264,54.5
265,54.5
266,54.5
267,54.5
268,54.5
269,54.5
270,54.5
271,54.0
272,54.0
273,53.5
274,53.5
275,53.5
276,53.5
277,53.0
278,53.0
